4|società, civilizzazione, cultura
48A81|collezione artistica
48A811|collezionista d'arte
48A8111|collezione d'arte, galleria d'arte
48A8112|gabinetto di curiosità, 'Kunst- und Wunderkammer'
48A81121|'Kunstschrank'
48A82|esposizione, mostra
48A821|esposizione permanente, museo
48A8211|museo personale
48A822|esposizione temporanea, 'Salon'
48A83|commercio d'arte, negozio d'arte
48A831|commerciante d'arte
48A8311|antiquario
48A832|vendita di opere d'arte, asta
48A9|distinzioni formali e stilistiche nell'arte
48A91|stili nelle belle arti
48A92|arte popolare
48A93|arte naïf
48A94|arte amatoriale, dilettantesca
48A95|arte infantile
48A96|arte psicotica e psichiatrica
48A97|'kitsch', 'Trivialkunst'
48A98|decorazioni
48A981|motivi geometrici ~ decorazioni
48A9811|linee rette (solo con angoli retti) ~ decorazioni
48A98111|meandro ~ decorazioni
48A9812|linee rette (angoli alterni e complementari) ~ decorazioni
48A9813|forme circolari e curve ~ decorazioni
48A98131|cerchio e forme derivate del cerchio, p.es. guilloche ~ decorazioni
48A98132|ellisse e forme derivate dall'ellisse ~ decorazioni
48A98133|spirale e forme derivate dalla spirale, p.es. onda greca ~ decorazioni
48A98134|altre forme curve ~ decorazioni
48A9814|combinazione di linee rette e curve ~ decorazioni
48A98141|traforo ~ decorazioni
48A9815|forme stellari ~ decorazioni
48A98151|pentagramma ~ decorazioni
48A9816|forme raggiate, forme a ruota ~ decorazioni
48A9817|forme ruotanti ~ decorazioni
48A98171|yin-yang ~ decorazioni
48A98172|triscele ~ decorazioni
48A982|elementi decorativi antropomorfi
48A9821|decorazioni, elementi ornamentali ~ parti umane
48A98211|maschera, mascherone ~ elementi decorativi
48A98212|teste fogliate ~ elementi decorativi
48A9822|elementi decorativi ~ figure umane mostruose
48A9823|elementi decorativi ~ esseri ibridi; unione di forme umane e animali
48A983|elementi decorativi derivati da forme vegetali
48A9831|fogliame, viticci, rami ~ elementi decorativi
48A98311|fogliame ~ elementi decorativi
48A983111|acanto ~ elementi decorativi
48A983112|palmetta ~ elementi decorativi
48A98312|viticci ~ elementi decorativi
48A98313|ramages, 'Astwerk' ~ elementi decorativi
48A9832|frutti e vegetali ~ elementi decorativi
48A98321|melagrana ~ elementi decorativi
48A9833|fiori ~ elementi decorativi
48A98331|fleur-de-lis, giglio ~ elementi decorativi
48A98332|loto ~ elementi decorativi
48A98333|mazzo di fiori ~ elementi decorativi
48A9834|forme vegetali non identificabili ~ elementi decorativi
48A98341|rosetta ~ elementi decorativi
48A984|elementi decorativi derivati da forme animali
48A9841|bucranio ~ elementi decorativi
48A9842|testa di ariete ~ elementi decorativi
48A9843|testa di leone ~ elementi decorativi
48A9844|delfino ~ elementi decorativi
48A9845|altri elementi decorativi derivati da forme animali
48A9846|elementi decorativi ~ animali ibridi
48A985|elementi decorativi derivati da oggetti
48A9851|nastro, cartiglio, banderuola ~ elementi decorativi
48A9852|panno a pieghe, panneggio ~ elementi decorativi
48A9853|conchiglia ~ elementi decorativi
48A9854|vaso ~ elementi decorativi
48A9855|lambrecchino ~ elementi decorativi
48A9856|elementi decorativi derivati da dettagli architettonici
48A9857|altri elementi decorativi derivati da oggetti
48A9857(...)|altri elementi decorativi derivati da oggetti (col NOME)
48A986|elementi decorativi di fantasia
48A9861|voluta, ornamento nastriforme ~ elementi decorativi
48A9862|ornamento auricolare, stile auricolare ~ elementi decorativi
48A9863|elementi decorativi rocaille
48A9864|altri elementi decorativi di fantasia
48A987|composizioni decorative usate frequentemente
48A9871|arabesco ~ composizioni decorative
48A98711|candelabra ~ composizioni decorative
48A9872|grottesca ~ composizioni decorative
48A9873|moresca ~ composizioni decorative
48A9874|trofeo, ovvero sistemazione decorativa di motivi simbolici o rappresentativi
48A9875|festone, ghirlanda ~ composizioni decorative
48A9876|cartiglio ~ composizioni decorative
48A9877|medaglione ~ composizioni decorative
48A9878|intreccio ~ composizioni decorative
48A98781|intreccio astratto, intreccio a nodo ~ composizioni decorative
48A98782|intreccio zoomorfo ~ composizioni decorative
48A98783|intreccio floreale ~ composizioni decorative
48A9879|'Laub- und Bandelwerk' ~ composizioni decorative
48AA72|costruzioni finalizzate a rappresentazioni teatrali - AA - rappresentazioni teatrali all'aria aperta
48AA721|teatro (costruzione) - AA - rappresentazioni teatrali all'aria aperta
48AA722|sala da concerto - AA - rappresentazioni teatrali all'aria aperta
48AA723|opera - AA - rappresentazioni teatrali all'aria aperta
48AA724|caffè concerto - AA - rappresentazioni teatrali all'aria aperta
48AA725|cinema - AA - rappresentazioni teatrali all'aria aperta
48AA726|cabaret - AA - rappresentazioni teatrali all'aria aperta
48AA729|fronte di edificio o costruzione finalizzata a rappresentazioni (teatrali) - AA - rappresentazioni teatrali all'aria aperta
48AA7291|foyer ~ teatro, ecc. - AA - rappresentazioni teatrali all'aria aperta
48AA7292|auditorium ~ teatro, ecc. - AA - rappresentazioni teatrali all'aria aperta
48AA7293|poltrona (platea) ~ teatro, ecc. - AA - rappresentazioni teatrali all'aria aperta
48AA7294|galleria ~ teatro, ecc. - AA - rappresentazioni teatrali all'aria aperta
48AA7295|palchi, logge ~ teatro, ecc. - AA - rappresentazioni teatrali all'aria aperta
48AA982|elementi decorativi antropomorfi - AA - stilizzata
48AA9821|decorazioni, elementi ornamentali ~ parti umane - AA - stilizzata
48AA98211|maschera, mascherone ~ elementi decorativi - AA - stilizzata
48AA98212|teste fogliate ~ elementi decorativi - AA - stilizzata
48AA9822|elementi decorativi ~ figure umane mostruose - AA - stilizzata
48AA9823|elementi decorativi ~ esseri ibridi; unione di forme umane e animali - AA - stilizzata
48AA983|elementi decorativi derivati da forme vegetali - AA - stilizzata
48AA9831|fogliame, viticci, rami ~ elementi decorativi - AA - stilizzata
48AA98311|fogliame ~ elementi decorativi - AA - stilizzata
48AA983111|acanto ~ elementi decorativi - AA - stilizzata
48AA983112|palmetta ~ elementi decorativi - AA - stilizzata
48AA98312|viticci ~ elementi decorativi - AA - stilizzata
48AA98313|ramages, 'Astwerk' ~ elementi decorativi - AA - stilizzata
48AA9832|frutti e vegetali ~ elementi decorativi - AA - stilizzata
48AA98321|melagrana ~ elementi decorativi - AA - stilizzata
48AA9833|fiori ~ elementi decorativi - AA - stilizzata
48AA98331|fleur-de-lis, giglio ~ elementi decorativi - AA - stilizzata
48AA98332|loto ~ elementi decorativi - AA - stilizzata
48AA98333|mazzo di fiori ~ elementi decorativi - AA - stilizzata
48AA9834|forme vegetali non identificabili ~ elementi decorativi - AA - stilizzata
48AA98341|rosetta ~ elementi decorativi - AA - stilizzata
48AA984|elementi decorativi derivati da forme animali - AA - stilizzata
48AA9841|bucranio ~ elementi decorativi - AA - stilizzata
48AA9842|testa di ariete ~ elementi decorativi - AA - stilizzata
48AA9843|testa di leone ~ elementi decorativi - AA - stilizzata
48AA9844|delfino ~ elementi decorativi - AA - stilizzata
48AA9845|altri elementi decorativi derivati da forme animali - AA - stilizzata
48AA9846|elementi decorativi ~ animali ibridi - AA - stilizzata
48AA985|elementi decorativi derivati da oggetti - AA - stilizzata
48AA9851|nastro, cartiglio, banderuola ~ elementi decorativi - AA - stilizzata
48AA9852|panno a pieghe, panneggio ~ elementi decorativi - AA - stilizzata
48AA9853|conchiglia ~ elementi decorativi - AA - stilizzata
48AA9854|vaso ~ elementi decorativi - AA - stilizzata
48AA9855|lambrecchino ~ elementi decorativi - AA - stilizzata
48AA9856|elementi decorativi derivati da dettagli architettonici - AA - stilizzata
48AA9857|altri elementi decorativi derivati da oggetti - AA - stilizzata
48AA9857(...)|altri elementi decorativi derivati da oggetti (col NOME) - AA - stilizzata
48B|artista (in generale)
48B1|artista all'opera, nel suo studio
48B10|ispirazione dell'artista
48B101|l'artista e la sua musa (in generale)
48B11|bottega, studio dell'artista (in generale)
48B111|caratteristiche e strumenti dello studio (artista in generale)
48B12|situazioni lavorative di un artista
48B121|esecuzione di disegni preliminari, di schizzi ~ artista
48B122|studio di vestigia classiche ~ artista
48B123|realizzazione di un modello ~ artista
48B124|artista all'opera con un modello (dal vero)
48B1241|artista all'opera con un modello vestito
48B1242|artista all'opera con un modello nudo
48B13|modello/a dell'artista, colui (o colei) che posa
48B14|educazione, formazione dell'artista (in generale)
48B141|luogo o istituzione dell'educazione e apprendistato dell'artista, p.es. accademia di belle arti
48B1410|personificazione dell'accademia (di belle arti); 'Academia' (Ripa)
48B142|talento straordinario del giovane artista
48B143|artista che istruisce allievi
48B15|artista all'opera con collaboratori e allievi
48B19|artista che distrugge la propria opera
48B2|artista in situazione non lavorativa
48B21|Fama ~ artista
48B22|l'artista e la sua famiglia, parenti, ecc.
48B23|circolo, gruppo di artisti
48B24|vita di bohème dell'artista
48B25|il genio incompreso dell'artista
48B26|artista nel letto di morte
48B3|ritratto, autoritratto dell'artista
48B4|organizzazione (professionale) di artisti
48B41|Corporazione di San Luca
48B411|stemma della Corporazione di San Luca
48B42|accademia, associazione di artisti
48B43|camera di retorica (olandese: 'rederijkerskamer')
48BB1|artista all'opera, nel suo studio - BB - all'esterno
48BB10|ispirazione dell'artista - BB - all'esterno
48BB101|l'artista e la sua musa (in generale) - BB - all'esterno
48BB11|bottega, studio dell'artista (in generale) - BB - all'esterno
48BB111|caratteristiche e strumenti dello studio (artista in generale) - BB - all'esterno
48BB12|situazioni lavorative di un artista - BB - all'esterno
48BB121|esecuzione di disegni preliminari, di schizzi ~ artista - BB - all'esterno
48BB122|studio di vestigia classiche ~ artista - BB - all'esterno
48BB123|realizzazione di un modello ~ artista - BB - all'esterno
48BB124|artista all'opera con un modello (dal vero) - BB - all'esterno
48BB1241|artista all'opera con un modello vestito - BB - all'esterno
48BB1242|artista all'opera con un modello nudo - BB - all'esterno
48BB13|modello/a dell'artista, colui (o colei) che posa - BB - all'esterno
48BB14|educazione, formazione dell'artista (in generale) - BB - all'esterno
48BB141|luogo o istituzione dell'educazione e apprendistato dell'artista, p.es. accademia di belle arti - BB - all'esterno
48BB1410|personificazione dell'accademia (di belle arti); 'Academia' (Ripa) - BB - all'esterno
48BB142|talento straordinario del giovane artista - BB - all'esterno
48BB143|artista che istruisce allievi - BB - all'esterno
48BB15|artista all'opera con collaboratori e allievi - BB - all'esterno
48BB19|artista che distrugge la propria opera - BB - all'esterno
48C|le arti; artista
48C1|architettura
48C10|'Architectura', rappresentazioni simboliche, allegorie ed emblemi ~ architettura; 'Architettura' (Ripa)
48C101|origine dell'architettura
48C11|architetto all'opera
48C111|esecuzione di un disegno, di un schizzo ~ architetto
48C112|architetto che studia l'architettura antica
48C113|architetto che offre o presenta un disegno o un modello al mecenate
48C114|architetto nell'atto di sovraintendere attività edilizie
48C12|architetto in situazione non lavorativa
48C13|ritratto, autoritratto di architetto
48C14|raffigurazione architettonica in generale
48C141|raffigurazione di un edificio reale (che sia esistente o esistito)
48C1411|esterno ~ raffigurazione di un edificio
48C14111|veduta a volo d'uccello ~ raffigurazione di un edificio
48C1412|interno ~ raffigurazione di un edificio
48C1413|caricatura di un edificio
48C142|disegno o modello architettonico
48C1421|serie di disegni, modelli, ecc. relativi a un progetto architettonico
48C1422|modello ~ architettura
48C1423|pianta ~ architettura
48C1424|sezione ~ disegno o modello architettonico
48C1425|esterno ~ disegno o modello architettonico
48C14251|veduta a volo d'uccello ~ disegno o modello architettonico
48C1426|interno ~ disegno o modello architettonico
48C1427|esterno ed interno combinati insieme ~ disegno o modello architettonico
48C143|architettura ideale e immaginaria
48C1431|architettura fantastica, capricci architettonici, composizioni di fantasia con architetture non realistiche
48C1432|modello di un progetto architettonico ideale o immaginaria
48C1433|pianta ~ disegno o modello architettonico ideale o immaginario
48C1434|sezione ~ disegno o modello architettonico ideale o immaginario
48C1435|esterno ~ disegno o modello architettonico ideale o immaginario
48C14351|veduta a volo d'uccello ~ disegno o modello architettonico ideale o immaginario
48C1436|interno ~ disegno o modello architettonico ideale o immaginario
48C1437|esterno e interno combinati insieme ~ disegno o modello architettonico ideale o immaginario
48C144|follia, stravaganza architettonica
48C145|scenari architettonici in pitture, sculture, ecc.
48C1451|'Architekturbild'
48C149|rovine di un edificio
48C15|arnesi, strumenti dell'architetto
48C16|particolari architettonici
48C161|colonna, pilastro ~ architettura
48C1611|semicolonna, lesena ~ architettura
48C1612|capitello ~ colonna, pilastro
48C1613|base ~ colonna, pilastro
48C1614|colonna tortile
48C1615|colonnato
48C162|arco, archivolto ~ architettura
48C1621|porticato ~ architettura
48C1622|volta ~ architettura
48C1622(...)|volta ~ architettura (col NOME)
48C16221|chiave di volta ~ architettura
48C1623|cupola ~ architettura
48C1624|conca absidale, catino ~ architettura
48C163|ordini architettonici, trattati sugli ordini architettonici
48C1631|ordine dorico ~ architettura
48C1632|ordine tuscanico ~ architettura
48C1633|ordine ionico ~ architettura
48C1634|ordine corinzio ~ architettura
48C1635|ordine composito ~ architettura
48C164|elementi struttirali architettonici ~ figura umana
48C1641|telamoni ~ architettura
48C1642|cariatidi ~ architettura
48C165|modanature ~ architettura
48C165(...)|modanature ~ architettura (col NOME)
48C166|decorazioni delle superfici (particolari architettonici)
48C1661|bugnato ~ decorazione delle superfici (architettura)
48C167|impiantito, pavimento ~ architettura
48C168|altri particolari architettonici
48C168(...)|altri particolari architettonici (col NOME)
48C168(ARCHITRAVE)|altri particolari architettonici: architrave
48C2|scultura
48C20|'Sculptura', rappresentazioni simboliche, allegorie ed emblemi ~ scultura; 'Scoltura' (Ripa)
48C21|scultore all'opera, nel suo studio
48C211|realizzazione di un modello, di un bozzetto ~ scultore
48C212|realizzazione di un getto, fusione ~ scultore
48C213|studio di resti classici ~ scultore
48C22|scultore in situazione non lavorativa
48C23|ritratto, autoritratto di scultore
48C24|opera di scultura, riproduzione di un'opera di scultura
48C241|galleria di sculture
48C242|gabinetto delle cere
48C243|caricatura di un'opera di scultura
48C244|piedistallo di un'opera di scultura (eventualmente nella forma di erma)
48C25|arnesi, strumenti dello scultore
48C25(...)|arnesi, strumenti dello scultore (col NOME)
48C25(MALLET)|arnesi, strumenti dello scultore: mazzuolo
48C26|medaglia (considerata come un oggetto di scultura, senza riguardo alla sua funzione specifica)
48C27|gemma
48C3|arti applicate, arti e mestieri; disegno industriale
48C30|rappresentazioni simboliche, allegorie ed emblemi ~ arti applicate
48C31|artigiano ~ arti applicate
48C311|gioielliere, orefice, argentiere
48C312|artigiano ~ metallo vile
48C313|vasaio, ceramista
48C314|soffiatore di vetro
48C315|tessitore d'arazzi, fabbricante di 'gobelin'
48C316|falegname, ebanista, 'ébéniste'
48C32|ritratto, autoritratto di artigiano di arti applicate
48C33|opera di arte applicata
48C34|arnesi, strumenti dell'artigiano
48C34(...)|arnesi, strumenti dell'artigiano (col NOME)
48C34(POTTER'S WHEEL)|arnesi, strumenti dell'artigiano: tornio da vasaio
48C34(TOUCH-STONE)|arnesi, strumenti dell'artigiano: pietra di paragone
48C35|ornare, decorare ~ arti applicate
48C351|decorazione a rilievo, applicazione
48C352|decorazione incisa, in cavo, 'en creux'
48C3521|incisione a bulino
48C3522|incisione all'acquaforte
48C3523|incisione su legno ~ arti applicate
48C35231|intaglio
48C353|decorazione piana ~ arti applicate
48C3531|pittura (decorazione piana)
48C35311|laccatura ~ arti applicate
48C3532|stampa ~ arti applicate
48C3533|smaltatura ~ arti applicate
48C3534|impiallacciatura ~ arti applicate
48C35341|intarsio ~ arti applicate
48C35342|marqueterie ~ arti applicate
48C3535|damaschinatura, niello ~ arti applicate
48C3536|incrostazione ~ arti applicate
48C36|disegno industriale
48C361|disegnatore, industrial designer
48C4|le arti monumentali
48C40|rappresentazioni simboliche, allegorie ed emblemi ~ arti maggiori
48C41|artista di arte monumentale
48C411|mosaicista
48C412|specialista di pittura murale, frescante
48C413|creatore di vetrate artistiche
48C42|ritratto, autoritratto di artista (arti maggiori)
48C43|opera d'arte monumentale
48C44|arnesi, strumenti dell'artista (arti maggiori)
48C5|pittura, disegno e grafica
48C51|pittura (inclusa decorazione del libro, miniatura)
48C510|'Pictura'; rappresentazioni simboliche ed emblemi ~ pittura, 'Pittura' (Ripa)
48C5101|l'origine della pittura e del disegno
48C511|pittore all'opera, nel suo studio
48C5110|ispirazione del pittore
48C51101|il pittore e la sua musa
48C51102|pittore che suona, pittore con strumenti musicali
48C5111|bottega, studio ~ pittore
48C51111|caratteristiche e strumenti dello studio ~ pittore
48C5112|situazioni lavorative ~ pittore
48C51121|realizzazione di disegni preliminari, di schizzi ~ pittore
48C51122|studio delle vestigia classiche ~ pittore
48C51123|pittore all'opera con un modello (dal vero)
48C511231|pittore con un modello vestito
48C511232|pittore con un modello nudo
48C5113|modello/a, colui (o colei) che posa ~ pittura
48C5114|pittore che prepara dei colori
48C5115|pittore che istruisce allievi
48C51151|pittore all'opera con collaboratori o allievi
48C5119|pittore che distrugge la sua opera
48C512|pittore in situazione non lavorativa
48C513|ritratto, autoritratto di pittore
48C514|quadro, pittura
48C5141|'gemalte Galerie'
48C5142|quadro nel quadro
48C5143|caricatura di pittura
48C515|arnesi, strumenti del pittore
48C5151|cavalletto
48C5152|tavolozza
48C5153|pennelli ~ strumenti del pittore
48C5154|manichino, fantoccio
48C5155|taccuino di studi preparatori ~ strumenti del pittore
48C5156|cornice di dipinto, ecc.
48C51561|'passe-partout'
48C51562|(finto) tendaggio dipinto
48C5157|bastone poggiapolso
48C52|disegno
48C520|rappresentazioni simboliche, allegorie ed emblemi ~ disegno
48C521|disegnatore all'opera
48C5211|studio di vestigia classiche ~ disegnatore
48C5212|lezione di disegno
48C522|disegnatore in situazione non lavorativa
48C523|ritratto, autoritratto di disegnatore
48C524|disegno, schizzo
48C525|arnesi, strumenti del disegnatore
48C5251|'camera obscura' (~ arnesi, strumenti del disegnatore)
48C5252|'camera lucida' (~ arnesi, strumenti del disegnatore)
48C5253|specchio convesso (~ arnesi, strumenti del disegnatore)
48C5254|apparato per silhouette, 'physionotrace'
48C5255|strumenti per disegno prospettico
48C53|arti grafiche
48C530|rappresentazioni simboliche, allegorie ed emblemi ~ arti grafiche
48C531|artista grafico
48C5311|intagliatore di legno, xilografo
48C5312|incisore, acquafortista
48C5313|litografo
48C532|ritratto, autoritratto di artista grafico
48C533|stampa, p.es.: incisione, acquaforte, litografia
48C534|arnesi, strumenti dell'artista grafico
48C534(...)|arnesi, strumenti dell'artista grafico (col NOME)
48C6|fotografia, cinematografia
48C61|fotografia
48C610|rappresentazioni simboliche, allegorie ed emblemi ~ fotografia
48C611|fotografo all'opera
48C6111|studio fotografico
48C61111|caratteristiche e strumenti dello studio fotografico
48C6112|fare fotografie, fotografare
48C61121|fare fotografie a un modello/a, colui (colei) che posa
48C6113|camera oscura
48C6114|processo fotografico
48C61141|sviluppo ~ pellicola
48C61142|stampa ~ pellicola
48C612|fotografo in situazione non lavorativa
48C613|ritratto, autoritratto di fotografo
48C614|fotografia
48C6141|negativo ~ fotografia
48C6142|trasparente, diapositiva
48C6143|lastra fotografica, pellicola
48C6144|fotografia digitale
48C615|apparecchiatura fotografica
48C6151|macchina fotografica
48C62|cinematografia
48C620|rappresentazioni simboliche, allegorie ed emblemi ~ cinematografia
48C621|operatore cinematografico all'opera
48C6211|studio cinematografico
48C6212|filmare
48C62121|fare un lungometraggio
48C62122|fare un cartone animato
48C6213|montaggio, taglio ~ filmare
48C622|operatore cinematografico in situazione non lavorativa
48C623|ritatto, autoritratto di operatore cinematografico
48C624|film, celluloide
48C6241|bobina di film
48C625|apparecchiatura cinematografica
48C6251|telecamera, cinepresa
48C6252|proiettore ~ apparecchiatura cinematografica
48C63|gli inizi della fotografia e della cinematografia
48C7|musica
48C70|'Musica'; rappresentazioni simboliche, allegorie ed emblemi ~ musica; 'Musica' (Ripa)
48C701|origine della musica
48C702|potere magico della musica
48C71|compositore
48C711|compositore all'opera
48C7110|ispirazione del compositore
48C71101|il compositore e la sua musa
48C712|compositore in situazione non lavorativa
48C713|ritratto di compositore
48C72|musicista
48C721|musicista all'opera
48C7210|ispirazione del musicista
48C72101|il musicista e la sua musa
48C7211|musicista che istruisce allievi, lezione di musica
48C722|musicista in situazione non lavorativa
48C723|ritratto di musicista
48C723(...)|ritratto di musicista (col NOME della professione)
48C73|strumenti musicali; gruppo di strumenti musicali
48C731|strumenti a corda (suonati con archetto)
48C7311|violino, violetta
48C7312|viola, violoncello; contrabbasso
48C7313|altri strumenti della categoria dei violini: viola antica, ribeca
48C7314|ghironda
48C7315|altri strumenti a corda suonati con archetto
48C7315(...)|altri strumenti a corda suonati con archetto (col NOME)
48C732|strumenti a corda (suonati a pizzico)
48C7321|lira, cetra, salterio
48C7322|arpa
48C7323|liuto, e tipi particolari di liuto, p.es.: tiorba
48C7324|cetra, mandolino, chitarra, balalaika
48C7325|dulcimero, zither
48C7326|altri strumenti a corda (suonati a pizzico)
48C7326(...)|altri strumenti a corda (suonati a pizzico) (col NOME)
48C733|strumenti a tastiera
48C7331|spinetta, virginale
48C7332|clavicembalo, arpicordo
48C7333|pianoforte
48C73331|pianoforte a coda
48C7334|organo
48C73341|organo da chiesa
48C7335|fisarmonica
48C7336|altri strumenti a tastiera
48C7336(...)|altri strumenti a tastiera col NOME)
48C734|strumenti a percussione
48C7341|tamburo (strumenti musicali)
48C73411|tamburello
48C7342|nacchere, castagnette
48C7343|carillon, campanelli
48C73431|campana ~ strumenti musicali
48C7344|altri strumenti a percussione
48C7344(...)|altri strumenti a percussione (col NOME)
48C735|strumenti a fiato
48C7351|flauto, aulos, tibia
48C73511|flauto a becco
48C73512|clarinetto, fagotto, oboe, cennamella
48C73513|flauto traverso
48C7352|corno, tromba, cornetta, trombone, tuba
48C73521|sassofono
48C7353|siringa (mus.)
48C7354|cornamusa, musette
48C7355|armonica a bocca
48C7356|altri strumenti a fiato
48C7356(...)|altri strumenti a fiato (col NOME)
48C7356(CONCH)|altri strumenti a fiato: conchiglia
48C736|strumenti ~ musica popolare
48C737|strumenti improvvisati (utensili da cucina, ecc.)
48C737(...)|
48C737(RUMBLING-POT)|strumenti improvvisati: cupa-cupa
48C738|accessori ~ musica: metronomo, leggio per musica, diapason, ecc.
48C74|notazione di musica
48C741|edizione a stampa della partitura musicale
48C742|manoscritto della partitura musicale
48C7421|autografo ~ notazione di musica
48C743|teoria musicale
48C75|suonare; musicista con strumento
48C751|singola persona con strumento musicale, non intenta a suonare
48C7511|singola persona che accorda uno strumento
48C75111|singola persona che accorda il liuto
48C7512|persona con strumento musicale, in meditazione, in contemplazione
48C752|singola persona mentre suona uno strumento
48C7521|singola persona mentre suona uno strumento a corda (suonato con archetto)
48C7522|singola persona mentre suona uno strumento a corda (pizzicato)
48C7523|singola persona mentre suona uno strumento a tastiera
48C7524|singola persona mentre suona uno strumento a percussione
48C7525|singola persona mentre suona uno strumento a fiato
48C753|più di un musicista con uno strumento; orchestra; concerto
48C7531|complesso musicale, orchestra
48C7532|piccolo complesso musicale, orchestra da camera, jazz band
48C754|assieme di musica strumentale e vocale
48C7541|cantante che accompagna se stesso
48C75411|menestrello, 'jongleur'
48C75412|bardo, poeta lirico
48C7542|musicista/i che accompagna un cantante/i
48C755|musica vocale, canto
48C7551|cantante senza accompagnamento
48C75511|cantante senza accompagnamento (di sesso maschile)
48C75512|cantante senza accompagnamento (di sesso femminile)
48C7552|coro
48C756|musica popolare, musica da strada
48C7561|musica popolare strumentale
48C75611|suonatore di ghironda
48C75612|suonatore di organetto a cilindro
48C75613|singola persona che suona diversi strumenti, orchestrina di una sola persona
48C75614|banda musicale, orchestrina da strada
48C7562|musica popolare vocale
48C75621|cantore di ballate, autore di ballate
48C76|musica 'automatica'
48C761|scatola armonica
48C762|organetto, 'pierement'
48C763|pianola; orchestion
48C77|direttore d'orchestra ~ musica
48C771|bacchetta ~ direttore d'orchestra
48C78|ascoltare la musica
48C8|le arti del palcoscenico: balletto, teatro, dramma musicale, spettacolo cinematografico
48C80|rappresentazioni simboliche, allegorie ed emblemi ~ arti del palcoscenico
48C801|rappresentazioni simboliche, allegorie ed emblemi ~ danza e balletto
48C802|rappresentazioni simboliche, allegorie ed emblemi ~ il teatro
48C8021|rappresentazioni simboliche, allegorie ed emblemi ~ letteratura drammatica
48C803|rappresentazioni simboliche, allegorie ed emblemi ~ dramma musicale
48C804|rappresentazioni simboliche, allegorie ed emblemi ~ spettacolo cinematografico
48C81|il palcoscenico e la sua attrezzatura
48C811|scenografia
48C812|dietro al palcoscenico
48C813|set, scenario ~ palcoscenico
48C8131|fondale teatrale
48C8132|luci ~ palcoscenico
48C8133|sipario ~ palcoscenico
48C814|camerino ~ palcoscenico
48C82|persone che lavorano sul palcoscenico
48C821|regista, produttore ~ palcoscenico
48C822|coreografo
48C823|suggeritore
48C824|macchinista
48C83|interprete, artista (teat.) (situazioni non lavorative)
48C831|ritratto di artista ~ palcoscenico
48C8311|ritratto di ballerino
48C8312|ritratto di attore, attrice
48C8313|ritratto di cantante d'opera
48C8314|ritratto di artista da cabaret
48C8315|ritratto di attore, di attrice cinematografica
48C832|artista in altre situazioni non lavorative
48C8321|ballerino (situazioni non lavorative)
48C8322|attore, attrice (situazioni non lavorative)
48C8323|cantante d'opera (situazioni non lavorative)
48C8324|artista da cabaret (situazioni non lavorative)
48C8325|attore cinematografico, attrice cinematografica (situazioni non lavorative
48C84|danza, balletto, rappresentazione coreografica
48C841|allenamenti, esercitazione ~ balletto
48C842|corpo di ballo; ballerini sulla scena
48C8421|ballerino (arti del palcoscenico)
48C8422|ballerina (arti del palcoscenico)
48C843|passi di danza, posizioni
48C844|costume da ballo, abbigliamento da danza
48C85|teatro, rappresentazione teatrale
48C851|prova teatrale, studio della parte ~ teatro
48C852|gruppo di attori, troupe; attori sulla scena
48C8521|attore (sulla scena)
48C85211|interpretazione di un personaggio femminile di un'attore
48C8522|attrice (sulla scena)
48C85221|interpretazione di un personaggio maschile di un'attrice
48C8523|troupe (attori) 'en route'
48C85231|troupe che fa il suo ingresso in città, annuncio della rappresentazione
48C853|costume di scena
48C854|generi teatrali
48C8541|dramma religioso
48C85411|moralità (rappresentazione drammatica allegorica)
48C8542|dramma retorico
48C8543|commedia dell'arte
48C85431|caratteri, personaggi nella commedia dell'arte
48C85431(...)|caratteri, personaggi nella commedia dell'arte (col NOME)
48C85431(COLOMBINE)|caratteri, personaggi nella commedia dell'arte: Colombina
48C85431(HARLEQUIN)|caratteri, personaggi nella commedia dell'arte: Arlecchino
48C85431(PANTALONE)|caratteri, personaggi nella commedia dell'arte: Pantalone
48C85431(PIERROT)|caratteri, personaggi nella commedia dell'arte: Pierrot
48C85431(PULCINELLA)|caratteri, personaggi nella commedia dell'arte: Pulcinella
48C8544|pantonima, mimo, masque
48C85441|'tableau vivant'
48C8545|tragedia
48C85450|'Tragedia' (Ripa)
48C8546|commedia
48C85460|'Comedia', 'Comedia vecchia' (Ripa)
48C8547|opera satirica, farsa
48C8548|altri generi teatrali
48C85481|teatro totale, multimediale
48C85482|happening ~ palcoscenico
48C855|spettacolo di burattini e marionette
48C8551|burattino
48C85511|Punch and Judy
48C8552|marionetta
48C856|ombre cinesi
48C86|dramma musicale, rappresentazione di un dramma musicale
48C861|prova, studio della parte ~ dramma musicale
48C862|opera
48C8621|cantante lirico (maschile)
48C8622|cantante lirica (femminile)
48C863|operetta, commedia musicale, 'Singspiel'
48C864|cabaret
48C8641|artista di cabaret
48C865|vaudeville, spettacolo di varietà
48C8651|spogliarello
48C87|rappresentazione, spettacolo cinematografico
48C871|attori sullo schermo
48C8711|attore cinematografico (sullo schermo)
48C8712|attrice cinematografica (sullo schermo)
48C872|critico cinematografico
48C873|generi ~ cinematografia
48C8731|lungometraggio
48C8732|documentario sulla natura
48C8733|documentario
48C8734|cartoni animati
48C9|letteratura ~ arti
48C90|'litterae', rappresentazioni simboliche, allegorie ed emblemi ~ letteratura; 'Lettere' (Ripa)
