4|società, civilizzazione, cultura
41C27(ROLLING-PIN)|utensili da cucina: mattarello
41C27(SIEVE)|utensili da cucina: setaccio
41C27(SKIMMER)|utensili da cucina: scrematrice
41C3|tavola apparecchiata: stoviglie da tavolo, decorazione, ecc.
41C31|servizio da tavola
41C311|coltello da tavola
41C312|forchetta
41C313|cucchiaio
41C314|saliera
41C315|contenitore per spezie
41C316|portauovo
41C317|secchiello del ghiaccio (per tenere in fresco il vino)
41C32|recipiente per bere
41C321|tazza, coppa
41C3211|corno per bere
41C3212|nautilus a tazza, a coppa
41C322|gotto, nappo, calice
41C3221|piede del calice
41C323|bicchiere, bicchierone (da vino)
41C323(...)|bicchiere, bicchierone (da vino) (col NOME)
41C323(BERKEMEYER)|bicchiere, bicchierone: berkemeyer
41C323(PASGLAS)|bicchiere, bicchierone: pasglas
41C324|tankard, boccale
41C325|fontana da tavola
41C326|vaso, caraffa (usati come recipienti per bere)
41C327|recipienti per bere di forma insolita
41C3271|recipiente per bere a forma di animale
41C3272|recipiente per bere antropomorfo
41C32721|teschio umano come recipiente per bere
41C3273|recipienti per bere a forma di un oggetto
41C33|servizio da tè e da caffè
41C331|tazza e piattino
41C332|caffettiera
41C333|teiera; samovar
41C334|zuccheriera
41C34|servizio da pranzo
41C341|piatto, piattino
41C342|piatto da portata
41C343|vassoio
41C344|salsiera
41C345|coppa, ciotola
41C35|decorazioni per la tavola
41C351|centro tavola, epergne, 'surtout', 'milieu-de-table'
41C352|'trionfi di tavola', 'pièces montées'
41C353|acquamanile, recipiente per acqua, utilizzato per lavarsi le mani prima del pasto
41C36|servizio (da pranzo) disposto sulla credenza
41C37|tovaglia
41C371|tovagliolo
41C3711|portatovagliolo
41C38|tavolo apparecchiato come natura morta
41C381|servizio per la prima colazione (breakfast piece; olandese: 'ontbijtje'
41C382|servizio per un banchetto (banquet piece)
41C4|pasto (familiare)
41C41|prima colazione
41C411|caffè del mattino
41C42|pasto di mezzogiorno, seconda colazione (pranzo)
41C421|high tea (tè servito con pietanze di carne)
41C4211|cerimonia del tè
41C422|tè del pomeriggio
41C43|pasto della sera (cena)
41C44|cena (tarda)
41C5|pranzo celebrativo, festino, banchetto
41C50|'Convito' (Ripa)
41C51|banchetto elegante
41C52|bicchierata, baldoria, gozzoviglia
41C520|'Crapula' (Ripa)
41C6|generi alimentari; natura morta con cibi
41C61|farina
41C611|tipi di farina o di cereali
41C612|prodotti della farina e del grano
41C6121|fiocchi d'avena, di frumento
41C6122|tagliatelle, spaghetti, ecc.
41C62|pane, torta, pasticceria, ecc.
41C621|pane, pagnotta
41C6211|pane sagomato
41C62111|pane o impasto piatto, rotondo, p.es. pizza
41C6212|pane, panino da imbottire, p.es. sandwich, hamburger
41C622|torta, crostata, prodotti di pasticceria
41C6221|pasticcini, paste
41C6222|biscotti
41C623|frittelle
41C624|cialde
41C6241|cannoli o coni di cialda
41C625|pasticcio (di carne), (meat)-pie
41C626|stampi da panettiere
41C6261|stampi per dolci, crostate, pasticci
41C6262|stampi per biscotti
41C62621|i cosiddetti 'speculaasplanken' (stampi per biscotti)
41C6263|ferro da cialde
41C6264|stampo o placca per il pane
41C63|zucchero
41C631|zucchero in cubetti
41C632|zollette di zucchero
41C633|sciroppo
41C634|zucchero candito
41C635|dolci, ghiottonerie
41C6351|gelato
41C6352|cioccolato (solido)
41C636|miele
41C637|rivestito di zucchero, rivestimento di zucchero
41C6371|glassa, glassatura
41C64|latticini e uova
41C641|latticini
41C6411|burro
41C6412|formaggio
41C6413|latte
41C64131|siero di latte
41C64132|yoghurt
41C64133|panna
41C642|uova, vivande a base di uova
41C65|verdura e frutta; natura morta di verdura e frutta
41C651|patate
41C6511|patate sottoposte a trattamento, p.es.: patatine fritte
41C652|verdura (avanzi)
41C652(...)|verdura (col NOME)
41C6521|verdure sottoposte a trattamento
41C6521(...)|verdure sottoposte a trattamento (col NOME)
41C653|frutta (avanzi)
41C653(...)|frutta (col NOME)
41C6531|frutta sottoposta a trattamento, p.es.: confettura, marmellata, ecc.
41C66|condimenti, spezie
41C66(...)|condimenti, spezie (col NOME)
41C66(SAFFRON)|condimenti, spezie: zafferano
41C661|sale
41C662|pepe
41C663|senape
41C67|olio, aceto, salse
41C671|olii e grassi vegetali
41C6711|margarina
41C672|aceto
41C673|salse
41C68|pesce; natura morta con pesci
41C68(...)|pesce (col NOME)
41C68(SMOKED HERRING)|pesce: aringa affumicata
41C681|frutti di mare
41C681(...)|frutti di mare (col NOME)
41C69|carne; natura morta con carni
41C691|bue o maiale macellato
41C692|tipi di carne
41C692(...)|tipi di carne (col NOME)
41C693|salsiccia
41C694|prosciutto
41C695|grasso, lardo
41C696|brodo, minestra
41C7|bevande, stimolanti, droghe
41C71|bevande alcoliche
41C711|vino ~ bevande alcoliche
41C7111|bicchiere di vino
41C7112|bottiglia di vino
41C7113|tipi di vino
41C7113(...)|specie di vino (col NOME)
41C712|liquore
