2|natura
23F615|settembre e ottobre ~ paesaggi (anno diviso in sei stagioni)
23F616|novembre e dicembre ~ paesaggi (anno diviso in sei stagioni)
23F62|anno diviso in sei stagioni ~ paesaggi (seconda serie)
23F621|dicembre e gennaio ~ paesaggi (anno diviso in sei stagioni)
23F622|febbraio e marzo ~ paesaggi (anno diviso in sei stagioni)
23F623|aprile e maggio ~ paesaggi (anno diviso in sei stagioni)
23F624|giugno e luglio ~ paesaggi (anno diviso in sei stagioni)
23F625|agosto e settembre ~ paesaggi (anno diviso in sei stagioni)
23F626|ottobre e novembre ~ paesaggi (anno diviso in sei stagioni)
23G|stagioni dell'anno rappresentate da nature morte di fiori e/o frutta
23G2|anno diviso in due stagioni ~ nature morte di fiori e/o frutta
23G21|semestre invernale ~ nature morte di fiori e/o frutta (anno diviso in due stagioni)
23G22|semestre estivo ~ nature morte di fiori e/o frutta (anno diviso in due stagioni)
23G23|contesa tra estate e inverno ~ nature morte di fiori e/o frutta (anno diviso in due stagioni
23G3|anno diviso in tre stagioni, in quadrimestri, rappresentate da nature morte di fiori e/o frutta
23G31|anno diviso in tre stagioni ~ nature morte di fiori e/o frutta (prima serie
23G311|gennaio-aprile ~ nature morte di fiori e/o frutta (anno diviso in tre stagioni)
23G312|maggio-agosto ~ nature morte di fiori e/o frutta (anno diviso in tre stagioni)
23G313|settembre-dicembre ~ nature morte di fiori e/o frutta (anno diviso in tre stagioni)
23G32|anno diviso in tre stagioni ~ nature morte di fiori e/o frutta (seconda serie)
23G321|dicembre-marzo ~ nature morte di fiori e/o frutta (anno diviso in tre stagioni)
23G322|aprile-luglio ~ nature morte di fiori e/o frutta (anno diviso in tre stagioni)
23G323|agosto-novembre ~ nature morte di fiori e/o frutta (anno diviso in tre stagioni)
23G4|le quattro stagioni dell'anno rappresentate da nature morte di fiori e/o frutta
23G41|natura morta di fiori ecc. che simboleggia l'inverno (le quattro stagioni dell'anno)
23G42|natura morta di fiori ecc. che simboleggia la primavera (le quattro stagioni dell'anno)
23G43|natura morta di fiori ecc. che simboleggia l'estate (le quattro stagioni dell'anno)
23G44|natura morta di fiori ecc. che simboleggia l'autunno (le quattro stagioni dell'anno)
23G5|anno diviso in cinque stagioni rappresentate da nature morte di fiori e/o frutta
23G6|anno diviso in sei stagioni, in bimestri, rappresentate da nature morte di fiori e/o frutta
23G61|anno diviso in sei stagioni ~ nature morte di fiori e/o frutta (prima serie)
23G611|gennaio e febbraio ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23G612|marzo e aprile ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23G613|maggio e giugno ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23G614|luglio e agosto ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23G615|settembre e ottobre ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23G616|novembre e dicembre ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23G62|anno diviso in sei stagioni ~ nature morte di fiori e/o frutta (seconda serie)
23G621|dicembre e gennaio ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23G622|febbraio e marzo ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23G623|aprile e maggio ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23G624|giugno e luglio ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23G625|agosto e settembre ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23G626|ottobre e novembre ~ nature morte di fiori e/o frutta (anno diviso in sei stagioni)
23H|stagioni dell'anno rappresentate da concetti diversi da personificazioni, attività umane, paesaggi, o nature morte di fiori e/o frutta (p.es. scene bibliche)
23H2|anno diviso in due stagioni ~ altri concetti (p.es. scene bibliche)
23H21|semestre invernale ~ altri concetti (p.es. scene bibliche) (anno diviso in due stagioni)
23H22|semestre estivo ~ altri concetti (p.es. scene bibliche) (anno diviso in due stagioni)
23H23|contesa tra estate e inverno ~ altri concetti (p.es. scene bibliche) (anno diviso in due stagioni)
23H3|anno diviso in tre stagioni, in quadrimestri ~ altri concetti (p.es. scene bibliche)
23H31|anno diviso in tre stagioni ~ altri concetti (p.es. scene bibliche) (prima serie)
23H311|gennaio-aprile ~ altri concetti (p.es. scene bibliche) (anno diviso in tre stagioni)
23H312|maggio-agosto ~ altri concetti (p.es. scene bibliche) (anno diviso in tre stagioni)
23H313|settembre-dicembre ~ altri concetti (p.es. scene bibliche) (anno diviso in tre stagioni)
23H32|anno diviso in tre stagioni ~ altri concetti (p.es. scene bibliche) (seconda serie
23H321|dicembre-marzo ~ altri concetti (p.es. scene bibliche) (anno diviso in tre stagioni)
23H322|aprile-luglio ~ altri concetti (p.es. scene bibliche) (anno diviso in tre stagioni)
23H323|agosto-novembre ~ altri concetti (p.es. scene bibliche) (anno diviso in tre stagioni)
23H4|le quattro stagioni dell'anno ~ altri concetti (p.es. scene bibliche)
23H41|inverno ~ altri concetti (p.es. scene bibliche) (le quattro stagioni dell'anno)
23H42|primavera ~ altri concetti (p.es. scene bibliche) (le quattro stagioni dell'anno)
23H43|estate ~ altri concetti (p.es. scene bibliche) (le quattro stagioni dell'anno)
23H44|autunno ~ altri concetti (p.es. scene bibliche) (le quattro stagioni dell'anno)
23H5|anno diviso in cinque stagioni ~ altri concetti (p.es. scene bibliche)
23H6|anno diviso in sei stagioni, in bimestri ~ altri concetti (p.es. scene bibliche)
23H61|anno diviso in sei stagioni ~ altri concetti (p.es. scene bibliche)
23H611|gennaio e febbraio ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23H612|marzo e aprile ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23H613|maggio e giugno ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23H614|luglio e agosto ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23H615|settembre e ottobre ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23H616|novembre e dicembre ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23H62|anno diviso in sei stagioni ~ altri concetti (p.es. scene bibliche) (seconda serie)
23H621|dicembre e gennaio ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23H622|febbraio e marzo ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23H623|aprile e maggio ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23H624|giugno e luglio ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23H625|agosto e settembre ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23H626|ottobre e novembre ~ altri concetti (p.es. scene bibliche) (anno diviso in sei stagioni)
23I|i dodici mesi (personificazioni); 'Mese in generale' (Ripa)
23I1|mesi del primo quarto dell'anno
23I11|gennaio; 'Gennaro' (Ripa)
23I12|febbraio; 'Febraro' (Ripa)
23I13|marzo; 'Marzo' (Ripa)
23I2|mesi del secondo quarto dell'anno
23I21|aprile; 'Aprile' (Ripa)
23I22|maggio; 'Maggio' (Ripa)
23I23|giugno; 'Giugno' (Ripa)
23I3|mesi del terzo quarto dell'anno
23I31|luglio; 'Luglio' (Ripa)
23I32|agosto; 'Agosto' (Ripa)
23I33|settembre; 'Settembre' (Ripa)
23I4|mesi della quarta parte dell'anno
23I41|ottobre; 'Ottobre' (Ripa)
23I42|novembre; 'Novembre' (Ripa)
23I43|dicembre; 'Decembre' (Ripa)
23K|i dodici mesi rappresentati da scene che mostrano le attività dell'uomo, di norma in un paesaggio; le cosiddetti 'attività dei mesi'
23K1|i mesi del primo quarto dell'anno ~ attività umane (le attività di gennaio, febbraio, marzo)
23K11|gennaio e le sue attività
23K12|febbraio e le sue attività
23K13|marzo e le sue attività
23K2|i mesi del secondo quarto dell'anno ~ attività umane (le attività di aprile, maggio e giugno)
23K21|aprile e le sue attività
23K22|maggio e le sue attività
23K23|giugno e le sue attività
23K3|i mesi del terzo quarto dell'anno ~ attività umane (le attività di luglio, agosto e settembre
23K31|luglio e le sue attività
23K32|agosto e le sue attività
23K33|settembre e le sue attività
23K4|i mesi del quarto quarto dell'anno ~ attività umane (le attività di ottobre, novembre e dicembre)
23K41|ottobre e le sue attività
23K42|novembre e le sue attività
23K43|dicembre e le sue attività
23L|i dodici mesi rappresentati da paesaggi
23L1|mesi del primo quarto dell'anno rappresentati da paesaggi
23L11|paesaggio che simboleggia gennaio
23L12|paesaggio che simboleggia febbraio
23L13|paesaggio che simboleggia marzo
23L2|mesi del secondo quarto dell'anno rappresentati da paesaggi
23L21|paesaggio che simboleggia aprile
23L22|paesaggio che simboleggia maggio
23L23|paesaggio che simboleggia giugno
23L3|mesi del terzo quarto dell'anno rappresentati da paesaggi
23L31|paesaggio che simboleggia luglio
23L32|paesaggio che simboleggia agosto
23L33|paesaggio che simboleggia settembre
23L4|mesi del quarto quarto dell'anno rappresentati da paesaggi
23L41|paesaggio che simboleggia ottobre
23L42|paesaggio che simboleggia novembre
23L43|paesaggio che simboleggia dicembre
23M|i dodici mesi rappresentati da nature morte di fiori e/o frutta
23M1|i mesi del primo quarto dell'anno rappresentati da nature morte di fiori e/o frutta
23M11|gennaio rappresentato da nature morte di fiori e/o frutta
23M12|febbraio rappresentato da nature morte di fiori e/o frutta
23M13|marzo rappresentato da nature morte di fiori e/o frutta
23M2|i mesi del secondo quarto dell'anno rappresentati da nature morte di fiori e/o frutta
23M21|aprile rappresentato da una natura morta di fiori e/o frutta
23M22|maggio rappresentato da una natura morta di fiori e/o frutta
23M23|giugno rappresentato da nature morte di fiori e/o frutta
23M3|i mesi del terzo quarto dell'anno rappresentati da nature morte di fiori e/o frutta
23M31|luglio rappresentato da nature morte di fiori e/o frutta
23M32|agosto rappresentato da nature morte di fiori e/o frutta
23M33|settembre rappresentato da nature morte di fiori e/o frutta
23M4|i mesi del quarto quarto dell'anno rappresentati da nature morte di fiori e/o frutta
23M41|ottobre rappresentato da nature morte di fiori e/o frutta
23M42|novembre rappresentato da nature morte di fiori e/o frutta
23M43|dicembre rappresentato da nature morte di fiori e/o frutta
23N|i dodici mesi dell'anno rappresentati da altri concetti (non da personificazioni, attività umane, paesaggi, o nature morte di fiori e/o frutta)
23N1|mesi del primo quarto dell'anno ~ altri concetti
23N11|gennaio ~ altri concetti
23N12|febbraio ~ altri concetti
23N13|marzo ~ altri concetti
23N2|mesi del secondo quarto dell'anno ~ altri concetti
23N21|aprile ~ altri concetti
23N22|maggio ~ altri concetti
23N23|giugno ~ altri concetti
23N3|mesi del terzo quarto dell'anno ~ altri concetti
23N31|luglio ~ altri concetti
23N32|agosto ~ altri concetti
23N33|settembre ~ altri concetti
23N4|mesi del quarto quarto dell'anno ~ altri concetti
23N41|ottobre ~ altri concetti
23N42|novembre ~ altri concetti
23N43|dicembre ~ altri concetti
23O|zodiaco; i dodici segni zodiacali raffigurati insieme
23O1|segni zodiacali dell'inverno
23O11|capricorno (segno zodiacale di dicembre)
23O12|acquario (segno zodiacale di gennaio)
23O13|pesci (segno zodiacale di febbraio)
23O2|segni zodiacali della primavera
23O21|ariete (segno zodiacale di marzo)
23O22|toro (segno zodiacale di aprile)
23O23|gemelli (segno zodiacale di maggio)
23O3|segni zodiacali dell'estate
23O31|cancro (segno zodiacale di giugno)
23O32|leone (segno zodiacale di luglio)
23O33|vergine (segno zodiacale di agosto)
23O4|segni zodiacali dell'autunno
23O41|bilancia (segno zodiacale di settembre)
23O42|scorpione (segno zodiacale di ottobre)
23O43|sagittario (segno zodiacale di novembre)
