2|Natur
23H62|andere Konzepte (z.B. biblische Szenen), die die Jahreszeiten darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten: zweite Serie)
23H621|andere Konzepte (z.B. biblische Szenen), die die Monate Dezember und Januar darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H622|andere Konzepte (z.B. biblische Szenen), die die Monate Februar und März darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H623|andere Konzepte (z.B. biblische Szenen), die die Monate April und Mai darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H624|andere Konzepte (z.B. biblische Szenen), die die Monate Juni und Juli darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H625|andere Konzepte (z.B. biblische Szenen), die die Monate August und September darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H626|andere Konzepte (z.B. biblische Szenen), die die Monate Oktober und November darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23I|die zwölf Monate (insbesondere deren Personifikationen); Ripa: Mese in generale
23I1|Monate des ersten Jahresviertels
23I11|Januar; Ripa: Gennaro
23I12|Februar; Ripa: Febraro
23I13|März; Ripa: Marzo
23I2|Monate des zweiten Jahresviertels
23I21|April; Ripa: Aprile
23I22|Mai; Ripa: Maggio
23I23|Juni; Ripa: Giugno
23I3|Monate des dritten Jahresviertels
23I31|Juli; Ripa: Luglio
23I32|August; Ripa: Agosto
23I33|September; Ripa: Settembre
23I4|Monate des vierten Jahresviertels
23I41|Oktober; Ripa: Ottobre
23I42|November; Ripa: Novembre
23I43|Dezember; Ripa: Decembre
23K|Darstellung der zwölf Monate durch Szenen, die menschliche Arbeiten zeigen, die meistens in einer Landschaft angesiedelt sind (sogenannte Monatsbilder)
23K1|menschliche Arbeiten der Monate des ersten Jahresviertels
23K11|der Januar und seine Arbeiten
23K12|der Februar und seine Arbeiten
23K13|der März und seine Arbeiten
23K2|menschliche Arbeiten der Monate des zweiten Jahresviertels
23K21|der April und seine Arbeiten
23K22|der Mai und seine Arbeiten
23K23|der Juni und seine Arbeiten
23K3|menschliche Arbeiten der Monate des dritten Jahresviertels
23K31|der Juli und seine Arbeiten
23K32|der August und seine Arbeiten
23K33|der September und seine Arbeiten
23K4|menschliche Arbeiten der Monate des vierten Jahresviertels
23K41|der Oktober und seine Arbeiten
23K42|der November und seine Arbeiten
23K43|der Dezember und seine Arbeiten
23L|Landschaften, die die zwölf Monate darstellen
23L1|Landschaften, die die Monate des ersten Jahresviertels darstellen
23L11|eine Landschaft, die den Januar darstellt
23L12|eine Landschaft, die den Februar darstellt
23L13|eine Landschaft, die den März darstellt
23L2|Landschaften, die die Monate des zweiten Jahresviertels darstellen
23L21|eine Landschaft, die den April darstellt
23L22|eine Landschaft, die den Mai darstellt
23L23|eine Landschaft, die den Juni darstellt
23L3|Landschaften, die die Monate des dritten Jahresviertels darstellen
23L31|eine Landschaft, die den Juli darstellt
23L32|eine Landschaft, die den August darstellt
23L33|eine Landschaft, die den September darstellt
23L4|Landschaften, die die Monate des vierten Jahresviertels darstellen
23L41|eine Landschaft, die den Oktober darstellt
23L42|eine Landschaft, die den November darstellt
23L43|eine Landschaft, die den Dezember darstellt
23M|Darstellungen der zwölf Monate durch Blumen- und/oder Früchtestilleben
23M1|Darstellungen der Monate des ersten Jahresviertels durch Blumen- und/oder Früchtestilleben
23M11|Darstellungen des Januar durch Blumen- und/oder Früchtestilleben
23M12|Darstellungen des Februar durch Blumen- und/oder Früchtestilleben
23M13|Darstellungen des März durch Blumen- und/oder Früchtestilleben
