4|Gesellschaft, Zivilisation, Kultur
41AA143|abgelegenes Haus in der Stadt - AA - Profanarchitektur. Innenräume
41AA144|Wohnhaus, Etagenhaus - AA - Profanarchitektur. Innenräume
41AA15|Hochhaus, Wolkenkratzer - AA - Profanarchitektur. Innenräume
41AA16|Wohnen auf dem Land, z.B. Landhaus, Villa, Cottage - AA - Profanarchitektur. Innenräume
41AA161|Landhaus - AA - Profanarchitektur. Innenräume
41AA162|Villa - AA - Profanarchitektur. Innenräume
41AA163|Cottage - AA - Profanarchitektur. Innenräume
41AA17|Bauernhof - AA - Profanarchitektur. Innenräume
41AA171|Scheune - AA - Profanarchitektur. Innenräume
41AA18|Hütte, Häuschen - AA - Profanarchitektur. Innenräume
41AA181|Blockhütte, -haus - AA - Profanarchitektur. Innenräume
41AA182|Indianerhütte - AA - Profanarchitektur. Innenräume
41AA1821|Wigwam - AA - Profanarchitektur. Innenräume
41AA19|andere Formen des Wohnens - AA - Profanarchitektur. Innenräume
41AA191|Zelt - AA - Profanarchitektur. Innenräume
41AA1911|Zeltlager - AA - Profanarchitektur. Innenräume
41AA1912|Tipi - AA - Profanarchitektur. Innenräume
41AA192|Wohnwagen - AA - Profanarchitektur. Innenräume
41AA1921|Wohnwagenkolonie - AA - Profanarchitektur. Innenräume
41AA1922|Anhänger (Wagen) - AA - Profanarchitektur. Innenräume
41AA193|Hausboot - AA - Profanarchitektur. Innenräume
41AA194|Pfahlbau (auf dem Wasser oder zu Lande) - AA - Profanarchitektur. Innenräume
41AA1941|andere Wohnbauten mit räumlichen Abstand vom Erdboden - AA - Profanarchitektur. Innenräume
41AA195|Schneehütte, Iglu - AA - Profanarchitektur. Innenräume
41AA196|Höhlenwohnung - AA - Profanarchitektur. Innenräume
41AA32|Tür - AA - fingierte Tür, Scheintür
41AA321|die Tür öffnen - AA - fingierte Tür, Scheintür
41AA3211|offene Tür - AA - fingierte Tür, Scheintür
41AA3212|horizontal geteilte Tür; der obere Teil geöffnet - AA - fingierte Tür, Scheintür
41AA3213|Drehtür - AA - fingierte Tür, Scheintür
41AA322|die Tür schließen - AA - fingierte Tür, Scheintür
41AA3221|geschlossene Tür - AA - fingierte Tür, Scheintür
41AA323|monumentale Tür; Portal; Aedikula - AA - fingierte Tür, Scheintür
41AA324|Metallteile einer Tür - AA - fingierte Tür, Scheintür
41AA3241|Türklopfer, Türglocke - AA - fingierte Tür, Scheintür
41AA3242|Türgriff, Türknopf - AA - fingierte Tür, Scheintür
41AA325|Türschwelle - AA - fingierte Tür, Scheintür
41AA3251|Türfries, Türbalken, Türpfosten - AA - fingierte Tür, Scheintür
41AA3252|Ausstattung einer Tür, z.B. Schuhabstreifer, Schuhbürste, Fußmatte - AA - fingierte Tür, Scheintür
41AA326|Briefkasten (an einer Tür) - AA - fingierte Tür, Scheintür
41AA327|(nicht-lebendiger) Pförtner, Türsteher - AA - fingierte Tür, Scheintür
41AA328|die Tür verschließen; Türschloß - AA - fingierte Tür, Scheintür
41AA3281|Schlüssel - AA - fingierte Tür, Scheintür
41AA32811|Hauptschlüssel, Passepartout, Dietrich, Nachschlüssel - AA - fingierte Tür, Scheintür
41AA3282|(Tür-)Klinke - AA - fingierte Tür, Scheintür
41AA3283|(Tür-)Riegel - AA - fingierte Tür, Scheintür
41AA3284|Vorhängeschloß - AA - fingierte Tür, Scheintür
41AA33|Fenster - AA - fingiertes Fenster, Scheinfenster
41AA331|das Fenster öffnen - AA - fingiertes Fenster, Scheinfenster
41AA3311|offenes Fenster - AA - fingiertes Fenster, Scheinfenster
