4|Gesellschaft, Zivilisation, Kultur
48BB14|Erziehung, Unterricht des Künstlers (generell) - BB - im Freien
48BB141|Ort oder Institution für die Erziehung und den Unterricht eines Künstlers, z.B.: Kunstakademie - BB - im Freien
48BB1410|Personifikation der (Kunst-)Akademie; Ripa: Academia - BB - im Freien
48BB142|geniale Begabung, großes Talent des jungen Künstlers - BB - im Freien
48BB143|der Künstler unterrichtet Schüler - BB - im Freien
48BB15|der Künstler arbeitet zusammen mit Gehilfen oder Schülern - BB - im Freien
48BB19|der Künstler zerstört sein eigenes Werk - BB - im Freien
48C|die Künste; die Künstler
48C1|Architektur
48C10|symbolische Darstellungen, Allegorien und Embleme der Architektur; Architectura; Ripa: Architettura
48C101|Ursprung der Architektur
48C11|der arbeitende Architekt
48C111|ein Architekt zeichnet, skizziert
48C112|ein Architekt studiert antike Architektur
48C113|ein Architekt präsentiert einem Auftraggeber eine Zeichnung oder ein Modell
48C114|ein Architekt überwacht Bautätigkeiten
48C12|ein Architekt in Situationen, in denen er nicht arbeitet
48C13|Porträt, Selbstporträt eines Architekten
48C14|Architekturdarstellungen (generell)
48C141|Darstellung eines realen Gebäudes (das noch existiert oder einmal existiert hat)
48C1411|Darstellung des Äußeren eines Gebäudes
48C14111|Vogelperspektive auf ein Gebäude
48C1412|Darstellung des Inneren eines Gebäudes
48C1413|Karikatur eines Gebäudes
48C142|Architekturzeichnung oder -modell
48C1421|Serien von Zeichnungen, Modellen etc. eines architektonischen Projekts
48C1422|Architekturmodell
48C1423|Entwurf, Plan eines Gebäudes
48C1424|Schnitt durch eine Architektur (Architekturzeichnung oder -modell)
48C1425|Darstellung des Außenbaus einer Architektur (Architekturzeichnung oder -modell)
48C14251|Darstellung der Vogelperspektive auf eine Architektur (Architekturzeichnung oder -modell)
48C1426|Darstellung des Inneren einer Architektur (Architekturzeichnung oder -modell)
48C1427|kombinierte Darstellung des Außenbaus und des Inneren einer Architektur (Architekturzeichnung oder -modell)
48C143|ideale and visionäre Architektur
48C1431|phantastische Architektur, unwirkliche Architekturphantasien
48C1432|Modell eines idealen oder visionären Architekturprojekts
48C1433|Entwurf, Plan einer idealen oder visionären Architektur (Architekturzeichnung oder -modell)
48C1434|Schnitt durch eine ideale oder visionäre Architektur (Architekturzeichnung oder -modell)
48C1435|der Außenbau einer idealen oder visionären Architektur (Architekturzeichnung oder -modell)
48C14351|Vogelperspektive auf eine ideale oder visionäre Architektur (Architekturzeichnung oder -modell)
48C1436|das Innere einer idealen oder visionären Architektur (Architekturzeichnung oder -modell)
48C1437|Kombination des Außenbaus und des Inneren einer idealen oder visionären Architektur (Architekturzeichnung oder -modell)
48C144|architektonische Torheit, Narrheit
48C145|Architekturdarstellungen in Gemälden, Skulpturen etc.
48C1451|sogenanntes Architekturbild
48C149|Ruine eines Gebäudes
48C15|Werkzeuge, Arbeitsgeräte eines Architekten
48C16|architektonische Details
48C161|Säule, Pfeiler (Architektur)
48C1611|Halbsäule, Pilaster (Architektur)
48C1612|Kapitell (einer Säule, eines Pfeilers)
48C1613|Basis (einer Säule, eines Pfeilers)
48C1614|gedrehte order Salomonische Säule
48C1615|Kolonnade
48C162|Bogen, Archivolte (Architektur)
48C1621|Arkade (Architektur)
48C1622|Gewölbe (Architektur)
48C1622(...)|Gewölbe (mit NAMEN)
48C16221|Schlußstein (Architektur)
48C1623|Kuppel (Architektur)
48C1624|Konche (Architektur)
48C163|Säulenordnungen, Musterbücher mit Säulenordnungen (Architektur)
48C1631|Dorische Ordnung (Architektur)
48C1632|Toskanische Ordnung
48C1633|Ionische Ordnung
48C1634|Korinthische Ordnung
48C1635|Kompositordnung
48C164|menschliche Figuren als tragende Architekturteile
48C1641|Atlanten (Architektur)
48C1642|Karyatiden (Architektur)
48C165|Gesims (Architektur)
48C165(...)|Gesims (Architektur) (mit NAMEN)
48C166|Fassadendekorationen (Architektur)
48C1661|Rustika, Rustizierung als Fassadendekoration (Architektur)
48C167|Fußboden (Architektur)
48C168|andere architektonische Details
48C168(...)|andere architektonische Details (mit NAMEN)
48C168(ARCHITRAVE)|andere architektonische Details: Architrav
48C2|Skulptur, Plastik, Bildhauerkunst
48C20|symbolische Darstellungen, Allegorien und Embleme der Bildhauerkunst; Sculptura; Ripa: Scoltura
48C21|der arbeitende Bildhauer
48C211|der Bildhauer fertigt ein Modell, ein Bozzetto an
48C212|Hohlguß
48C213|ein Bildhauer studiert Antiken
48C22|ein Bildhauer in Situationen, in denen er nicht arbeitet
48C23|Porträt, Selbstporträt eines Bildhauers
48C24|Skulptur, Reproduktion einer Skulptur
48C241|Skulpturengalerie
48C242|Wachsfigurenkabinett
48C243|Karikatur einer Skulptur
48C244|Sockel einer Skulptur (eventuell in Form einer Herme)
48C25|Werkzeuge, Arbeitsgeräte eines Bildhauers
48C25(...)|Werkzeuge, Arbeitsgeräte eines Bildhauers (mit NAMEN)
48C25(MALLET)|Werkzeuge, Arbeitsgeräte eines Bildhauers: Holzhammer
48C26|Medaille (als Werk der Bildhauerkunst, unabhängig von ihrer spezifischen Funktion)
48C27|Gemme
48C3|angewandte Künste, Kunsthandwerk, Kunstgewerbe, Industriedesign
48C30|symbolische Darstellungen, Allegorien und Embleme der angewandten Künste
48C31|Kunsthandwerker
48C311|Juwelier, Goldschmied, Silberschmied
48C312|Kunsthandwerker, der mit unedlen Metallen arbeitet
48C313|Töpfer, Keramiker
48C314|Glasbläser
48C315|Teppichwirker, Gobelinknüpfer
48C316|Tischler, Kunsttischler; ébéniste
48C32|Porträt, Selbstporträt eines Kunsthandwerkers
48C33|Werk der angewandten Künste
48C34|Werkzeuge, Arbeitsgeräte eines Kunsthandwerkers
48C34(...)|Werkzeuge, Arbeitsgeräte eines Kunsthandwerkers (mit NAMEN)
48C34(POTTER'S WHEEL)|Werkzeuge, Arbeitsgeräte eines Kunsthandwerkers: Töpferscheibe
48C34(TOUCH-STONE)|Werkzeuge, Arbeitsgeräte eines Kunsthandwerkers: Streichstein
48C35|schmücken, dekorieren (angewandte Künste)
48C351|dekorieren: en relief; applizieren
48C352|dekorieren: en creux
48C3521|gravieren
48C3522|ätzen
48C3523|schnitzen (angewandte Künste)
48C35231|Holz meißeln
48C353|Oberflächendekoration in den angewandten Künsten
48C3531|bemalen (angewandte Künste)
48C35311|lackieren (angewandte Künste)
48C3532|bedrucken (angewandte Künste)
48C3533|emaillieren (angewandte Künste)
48C3534|furnieren
48C35341|Intarsien einlegen (angewandte Künste)
48C35342|Marketerie (angewandte Künste)
48C3535|damaszieren, niellieren (angewandte Künste)
48C3536|einlegen, inkrustieren
48C36|Industriedesign
48C361|Industriedesigner
48C4|Monumentalkünste
48C40|symbolische Darstellungen, Allegorien und Embleme der Monumentalkünste
48C41|Monumentalkünstler
48C411|Mosaizist
48C412|Wandmaler
48C413|Glasmaler
48C42|Porträt, Selbstporträt eines Monumentalkünstlers
48C43|Werk der Monumentalkunst
48C44|Werkzeuge und Arbeitsgeräte eines Monumentalkünstlers
48C5|Malerei, Zeichenkunst und Graphik
48C51|Malerei (einschließlich Buchmalerei und Miniaturmalerei)
48C510|symbolische Darstellungen, Allegorien und Embleme der Malerei; Pictura; Ripa: Pittura
48C5101|der Ursprung von Malerei und Zeichenkunst
48C511|der arbeitende Maler; der Maler in seinem Atelier
48C5110|Inspiration des Malers
48C51101|der Maler und seine Muse
48C51102|ein musizierender Maler; ein Maler mit einem Musikinstrument
48C5111|Werkstatt, Atelier eines Malers
48C51111|Werkstattutensilien, Atelierutensilien (des Malers)
48C5112|Arbeitssituationen des Malers
48C51121|der Maler fertigt Vorzeichnungen bzw. Skizzen an
48C51122|der Maler studiert Antiken
48C51123|der Maler arbeitet nach einem lebenden Modell
48C511231|der Maler arbeitet nach einem bekleideten Modell
48C511232|der Maler arbeitet nach einem nackten Modell
48C5113|(lebendes) Modell; Modell sitzen einen für einen Maler
48C5114|der Maler präpariert seine Farben
48C5115|der Maler unterrichtet Schüler
48C51151|der Maler arbeitet zusammen mit Gehilfen oder Schülern
48C5119|der Maler zerstört sein eigenes Werk
48C512|der Maler in Situationen, in denen er nicht arbeitet
48C513|Porträt, Selbstporträt eines Malers
48C514|Bild, Gemälde
48C5141|Galeriebild
48C5142|Bild im Bild
48C5143|Karikatur eines Gemäldes
48C515|Malwerkzeuge, Malerutensilien
48C5151|Staffelei
48C5152|Palette
48C5153|Pinsel (Malwerkzeuge)
48C5154|anatomisches Modell, Gliederpuppe
48C5155|Musterbücher (Malerutensilien)
48C5156|Bilderrahmen etc.
48C51561|Passepartout
48C51562|(vorgetäuschter) Vorhang vor einem Bild
48C5157|Malstock
48C52|Zeichenkunst
48C520|symbolische Darstellungen, Allegorien und Embleme der Zeichenkunst
48C521|der arbeitende Zeichenkünstler
48C5211|ein Zeichenkünstler studiert Antiken
48C5212|Zeichenstunde, Zeichenunterricht
48C522|der Zeichenkünstler in Situationen, in denen er nicht arbeitet
48C523|Porträt, Selbstporträt eines Zeichenkünstlers
48C524|Zeichnung, Skizze
48C525|Werkzeuge, Arbeitsgeräte des Zeichenkünstlers
48C5251|camera obscura (Werkzeuge, Arbeitsgeräte des Zeichenkünstlers)
48C5252|camera lucida (Werkzeuge, Arbeitsgeräte des Zeichenkünstlers)
48C5253|Konvexspiegel (Werkzeuge, Arbeitsgeräte des Zeichenkünstlers)
48C5254|Schattenbildapparat, Zeichengerät für die Silhouette (Werkzeuge, Arbeitsgeräte des Zeichenkünstlers)
48C5255|Instrumente für das perspektivische Zeichnen
48C53|Graphik
48C530|symbolische Darstellungen, Allegorien und Embleme der Graphik
48C531|Graphiker
48C5311|Holzschneider
48C5312|Kupferstecher, Radierer
48C5313|Lithograph
48C532|Porträt, Selbstporträt eines Graphikers
48C533|Druck; z.B.: Kupferstich, Holzschnitt, Radierung, Lithographie
48C534|Werkzeuge, Arbeitsgeräte eines Graphikers
48C534(...)|Werkzeuge, Arbeitsgeräte eines Graphikers (mit NAMEN)
48C6|Photographie; Kinematographie
48C61|Photographie
48C610|symbolische Darstellungen, Allegorien und Embleme der Photographie
48C611|der arbeitende Photograph
48C6111|Atelier eines Photographen
48C61111|Atelierutensilien eines Photographen
48C6112|Photos machen, photographieren
48C61121|ein (lebendes) Modell photographieren
48C6113|Dunkelkammer
48C6114|einen Film bzw. Photos bearbeiten (entwickeln, abziehen)
48C61141|einen Film bzw. Photos entwickeln
48C61142|einen Film bzw. Photos abziehen
48C612|ein Photograph in Situationen, in denen er nicht arbeitet
48C613|Porträt, Selbstporträt eines Photographen
48C614|Photographie
48C6141|Negativ (einer Photographie)
48C6142|Diapositiv
48C6143|Platte, Film (Photographie)
48C6144|Digitalfoto
48C615|Photoapparat
48C6151|Kamera (Photographie)
48C62|Kinematographie
48C620|symbolische Darstellungen, Allegorien und Embleme der Kinematographie
48C621|der arbeitende Filmkünstler
48C6211|Filmstudio
48C6212|filmen; Filmkünstler bei der Arbeit
48C62121|Produktion eines Spielfilms
48C62122|Produktion eines Zeichentrickfilms
48C6213|Montage eines Films; einen Film schneiden; Cutting
48C622|ein Filmkünstler in Situationen, in denen er nicht arbeitet
48C623|Porträt, Selbstporträt eines Filmregisseurs
48C624|Filmband, Zelluloid
48C6241|Filmstreifen, Filmspule
48C625|filmtechnische Geräte
48C6251|Filmkamera, Videokamera
48C6252|filmisches Projektionsgerät
48C63|Anfänge der Photographie und der Kinematographie
48C7|Musik
48C70|symbolische Darstellungen, Allegorien und Embleme der Musik; Musica; Ripa: Musica
48C701|Ursprung der Musik
48C702|magische Kraft der Musik
48C71|Komponist
48C711|der arbeitende Komponist
48C7110|Inspiration des Komponisten
48C71101|der Komponist und seine Muse
48C712|ein Komponist in Situationen, in denen er nicht arbeitet
48C713|Porträt eines Komponisten
48C72|Musiker
48C721|ein arbeitender Musiker
48C7210|Inspiration des Musikers
48C72101|der Musiker und seine Muse
48C7211|ein Musiker unterrichtet Schüler; Musikunterricht
48C722|ein Musiker in Situationen, in denen er nicht arbeitet
48C723|Porträt eines Musikers
48C723(...)|Porträt eines Musikers (mit NAME des Berufs)
48C73|Musikinstrumente; Gruppe von Musikinstrumenten
48C731|Saiteninstrumente (Streichinstrumente)
48C7311|Violine, Geige, Fiedel
48C7312|Viola, Violoncello; Kontrabaß
48C7313|Viole, Gambe, Rebec (Streichinstrumente)
48C7314|Drehleier
48C7315|andere Streichinstrumente
48C7315(...)|andere Streichinstrumente (mit NAMEN)
48C732|Saiteninstrumente (Zupfinstrumente)
48C7321|Lyra, Leier, Zither, Psalterium
48C7322|Harfe
48C7323|Laute; Sonderformen der Laute, z.B.: Theorbe
48C7324|Kithara, Mandoline, Gitarre, Balalaika
48C7325|Hackbrett, Zither
48C7326|andere Zupfinstrumente
48C7326(...)|andere Zupfinstrumente (mit NAMEN)
48C733|Tasteninstrumente
48C7331|Spinett, Virginal
48C7332|Klavichord, Cembalo
48C7333|Klavier
48C73331|Konzertflügel
48C7334|Orgel
48C73341|Kirchenorgel
48C7335|Akkordeon
48C7336|andere Tasteninstrumente
48C7336(...)|andere Tasteninstrumente (mit NAMEN)
48C734|Schlaginstrumente
48C7341|Trommel
48C73411|Tamburin
48C7342|Klappern, Kastagnetten
48C7343|Glockenspiel, Glockengeläut
48C73431|Glocke (als Musikinstrument)
48C7344|andere Schlaginstrumente
48C7344(...)|andere Schlaginstrumente (mit NAMEN)
48C735|Blasinstrumente
48C7351|Flöte, Aulos, Schnabelflöte
48C73511|Blockflöte
48C73512|Klarinette, Fagott, Oboe, Schalmei
48C73513|Querflöte
48C7352|Horn, Trompete, Kornett, Posaune, Tuba
48C73521|Saxophon
48C7353|Panflöte
48C7354|Dudelsack, Musette
48C7355|Mundharmonika
48C7356|andere Blasinstrumente
48C7356(...)|andere Blasinstrumente (mit NAMEN)
48C7356(CONCH)|andere Blasinstrumente: Tritonshorn
48C736|Instrumente für Volksmusik, U-Musik
48C737|improvisierte Musikinstrumente (Küchengeräte etc.)
48C737(...)|
48C737(RUMBLING-POT)|improvisierte Musikinstrumente: Brummtopf
48C738|Hilfsmittel und Zubehör für den Bereich der Musik: Metronom, Notenständer, Stimmgabel etc.
48C74|Notenschrift
48C741|gedruckte Ausgabe einer Partitur
48C742|Manuskript einer Partitur
48C7421|notenschriftliches Autograph
48C743|Musiktheorie
48C75|musizieren; Musiker mit Instrument
48C751|eine Person mit einem Musikinstrument, auf dem sie nicht spielt
48C7511|ein Instrument stimmen
48C75111|eine Laute stimmen
48C7512|eine Person mit einem Musikinstrument (grübelnd, in Kontemplation)
48C752|eine Person spielt ein Musikinstrument
48C7521|eine Person spielt ein Streichinstrument
48C7522|eine Person spielt ein Zupfinstrument
48C7523|eine Person spielt ein Tasteninstrument
48C7524|eine Person spielt ein Schlaginstrument
48C7525|eine Person spielt ein Blasinstrument
48C753|mehrere Musiker mit Instrumenten; Orchester; Konzert
48C7531|große Gruppe von Musikern; Orchester
48C7532|kleine Gruppe von Musikern, Kammerorchester, Jazzband
48C754|Instrumental- und Vokalmusik kombiniert
48C7541|Sänger, der sich selbst begleitet
48C75411|Spielmann, Jongleur
48C75412|Barde
48C7542|Musiker, die Sänger begleiten
48C755|Vokalmusik, Gesang
48C7551|Sänger ohne Begleitung
48C75511|(männlicher) Sänger
48C75512|Sängerin
48C7552|Chor
48C756|Volksmusik, U-Musik, Straßenmusik
48C7561|Instrumentalmusik (Volksmusik, U-Musik)
48C75611|Drehleierspieler
48C75612|Leierkastenspieler
48C75613|eine Person spielt verschiedene Instrumente; Einmannband
48C75614|Blaskapelle, Straßenkapelle
48C7562|Gesang (Volksmusik, U-Musik)
48C75621|Balladensänger, Bänkelsänger
48C76|Automatenmusik
48C761|Spieldose
48C762|Straßenorgel
48C763|Pianola; Orchestrion
48C77|Dirigent
48C771|Taktstock eines Dirigenten
48C78|Musik hören
48C8|Bühnenkunst. Ballett, Theater, Musiktheater, Filmkunst
48C80|symbolische Darstellungen, Allegorien und Embleme der Bühnenkunst
48C801|symbolische Darstellungen. Allegorien und Embleme von Tanz und Ballett
48C802|symbolische Darstellungen. Allegorien und Embleme des Theaters
48C8021|symbolische Darstellungen. Allegorien und Embleme der dramatischen Literatur
48C803|symbolische Darstellungen. Allegorien und Embleme des Musiktheaters
48C804|symbolische Darstellungen. Allegorien und Embleme der Filmkunst
48C81|die Bühne und ihre Ausstattung
48C811|Zeichnung, Entwurf eines Bühnenbilds
48C812|hinter der Bühne
48C813|Bühnenausstattung, Bühnenbild
48C8131|(gemalter) Bühnenprospekt
48C8132|Beleuchtung (Bühnenkunst)
48C8133|Bühnenvorhang
48C814|Bühnengarderobe
48C82|Theaterleute
48C821|Regisseur, Produzent (Bühnenkunst)
48C822|Choreograph
48C823|Souffleur
48C824|Bühnenarbeiter
48C83|darstellender Künstler (Tänzer, Schauspieler etc.) in Situationen, in denen er nicht arbeitet
48C831|Porträt eines darstellenden Künstlers (Tänzers, Schauspielers etc.)
48C8311|Porträt eines Tänzers
48C8312|Porträt eines Schauspielers, einer Schauspielerin
48C8313|Porträt eines Opernsängers
48C8314|Porträt eines Kabarettisten
48C8315|Porträt eines Filmschauspielers, einer Filmschauspielerin
48C832|ein darstellender Künstler in anderen Situationen, in denen er nicht arbeitet
48C8321|Tänzer (nicht arbeitend)
48C8322|Schauspieler, Schauspielerin (nicht arbeitend)
48C8323|Opernsänger (nicht arbeitend)
48C8324|Kabarettist (nicht arbeitend)
48C8325|Filmschauspieler, Filmschauspielerin (nicht arbeitend)
48C84|Ballett, Ballettaufführung
48C841|Ballettschule, Ballettraining
48C842|Ballettkompanie; Tänzer auf der Bühne
48C8421|männlicher Tänzer
48C8422|Tänzerin
48C843|Tanzschritte, Tanzfiguren, choreographische Abläufe
48C844|Ballettkostüm
48C85|(Sprech-)Theater, Theateraufführung
48C851|Theaterprobe, Einstudieren der Rollen
48C852|Schauspielergruppe, -kompanie, -truppe; Schauspieler auf der Bühne
48C8521|Schauspieler (auf der Bühne)
48C85211|Verkörperung einer weiblichen Rolle durch einen männlichen Schauspieler
48C8522|Schauspielerin (auf der Bühne)
48C85221|Verkörperung einer männlichen Rolle durch eine Schauspielerin
48C8523|Schauspielertruppe unterwegs
48C85231|Schauspieler ziehen in eine Stadt ein; sie kündigen in der Stadt ihre Aufführung an
48C853|Theaterkostüm
48C854|Schauspielgattungen, theatralische Genres
48C8541|geistliches Spiel
48C85411|Moralität (Schauspiel)
48C8542|Rhetorikerspiel
48C8543|Commedia dell'arte
48C85431|Typen der Commedia dell'arte
48C85431(...)|Typen der Commedia dell'arte (mit NAMEN)
48C85431(COLOMBINE)|Typen der Commedia dell'arte: Colombina
48C85431(HARLEQUIN)|Typen der Commedia dell'arte: Harlekin
48C85431(PANTALONE)|Typen der Commedia dell'arte: Pantalone
48C85431(PIERROT)|Typen der Commedia dell'arte: Pierrot
48C85431(PULCINELLA)|Typen der Commedia dell'arte: Pulcinella
48C8544|Pantomime, Gebärdenspiel, Maskerade
48C85441|tableau vivant
48C8545|Tragödie
48C85450|Ripa: Tragedia
48C8546|Komödie
48C85460|Ripa: Comedia, Comedia vecchia
48C8547|Satyrspiel, Posse, Farce
48C8548|andere Schauspielgattungen, theatralische Genres
48C85481|totales Theater, Kombination verschiedener Medien
48C85482|Happening (als Theaterform)
48C855|Puppenspiel, Marionettentheater
48C8551|(Hand-)Puppe
48C85511|Kasperletheater; Punch and Judy
48C8552|Marionette
48C856|Schattenspiel, Schattentheater
48C86|Musiktheater, Aufführung eines musiktheatralischen Stückes
48C861|Probe, Einstudieren der Rolle (Musiktheater)
48C862|Oper
48C8621|Opernsänger (männlich)
48C8622|Opernsängerin
48C863|Operette, Musical, Singspiel
48C864|Kabarett
48C8641|Kabarettist
48C865|Vaudeville, Varieté
48C8651|Striptease
48C87|Filmkunst, Film, Filmvorführung
48C871|Schauspieler auf der Leinwand
48C8711|männlicher Filmschauspieler auf der Leinwand
48C8712|Filmschauspielerin auf der Leinwand
48C872|Filmerklärer
48C873|Filmgenres
48C8731|Spielfilm
48C8732|Naturfilm, Tierfilm
48C8733|Dokumentarfilm
48C8734|Zeichentrickfilm
48C9|Literatur, Dichtkunst
48C90|symbolische Darstellungen, Allegorien und Embleme der Literatur; litterae; Ripa: Lettere
48C901|symbolische Darstellungen, Allegorien und Embleme der Dichtkunst; 'Poesia' (Ripa)
48C9011|symbolische Darstellungen, Allegorien und Embleme der epischen, erzählenden Dichtkunst
48C90111|symbolische Darstellungen, Allegorien und Embleme der Heldendichtung; Ripa: Poema heroico
48C9012|symbolische Darstellungen, Allegorien und Embleme der Lyrik; Ripa: Poema lirico
48C90121|symbolische Darstellungen, Allegorien und Embleme der Liebesdichtung
48C9013|symbolische Darstellungen, Allegorien und Embleme der elegischen Dichtung
48C9014|symbolische Darstellungen, Allegorien und Embleme der satirischen Dichtung; Ripa: Poema satirico
48C9015|Symbolische Darstellungen, Allegorien und Embleme der Pastoraldichtung; Ripa: Poema pastorale
48C902|symbolische Darstellungen, Allegorien und Embleme der Prosa
48C9021|symbolische Darstellungen, Allegorien und Embleme der epischen, erzählenden Prosa
48C91|Schriftsteller, Dichter, Autor
48C910|Inspiration des Dichters; Ripa: Furore poetico
48C9101|der Dichter und seine Muse
48C911|der schreibende Autor bzw. Dichter
48C9111|Autograph eines Autors bzw. Dichters
48C9112|ein Autor bzw. Dichter diktiert
48C912|poète maudit
48C913|ein Autor liest aus seinem eigenen Werk
48C919|ein Autor zerstört sein eigenes Werk
48C92|ein Autor in Situationen, in denen er nicht arbeitet
48C921|Ruhm des Schriftstellers; poeta laureatus
48C93|Schriftstellerporträt
48CC21|der arbeitende Bildhauer - CC - im Freien
48CC211|der Bildhauer fertigt ein Modell, ein Bozzetto an - CC - im Freien
48CC212|Hohlguß - CC - im Freien
48CC213|ein Bildhauer studiert Antiken - CC - im Freien
48CC511|der arbeitende Maler; der Maler in seinem Atelier - CC - im Freien
48CC5110|Inspiration des Malers - CC - im Freien
48CC51101|der Maler und seine Muse - CC - im Freien
48CC51102|ein musizierender Maler; ein Maler mit einem Musikinstrument - CC - im Freien
48CC5111|Werkstatt, Atelier eines Malers - CC - im Freien
48CC51111|Werkstattutensilien, Atelierutensilien (des Malers) - CC - im Freien
48CC5112|Arbeitssituationen des Malers - CC - im Freien
48CC51121|der Maler fertigt Vorzeichnungen bzw. Skizzen an - CC - im Freien
48CC51122|der Maler studiert Antiken - CC - im Freien
48CC51123|der Maler arbeitet nach einem lebenden Modell - CC - im Freien
48CC511231|der Maler arbeitet nach einem bekleideten Modell - CC - im Freien
48CC511232|der Maler arbeitet nach einem nackten Modell - CC - im Freien
48CC5113|(lebendes) Modell; Modell sitzen einen für einen Maler - CC - im Freien
48CC5114|der Maler präpariert seine Farben - CC - im Freien
48CC5115|der Maler unterrichtet Schüler - CC - im Freien
48CC51151|der Maler arbeitet zusammen mit Gehilfen oder Schülern - CC - im Freien
48CC5119|der Maler zerstört sein eigenes Werk - CC - im Freien
48CC521|der arbeitende Zeichenkünstler - CC - im Freien
48CC5211|ein Zeichenkünstler studiert Antiken - CC - im Freien
48CC5212|Zeichenstunde, Zeichenunterricht - CC - im Freien
48CC611|der arbeitende Photograph - CC - im Freien
48CC6111|Atelier eines Photographen - CC - im Freien
48CC61111|Atelierutensilien eines Photographen - CC - im Freien
48CC6112|Photos machen, photographieren - CC - im Freien
48CC61121|ein (lebendes) Modell photographieren - CC - im Freien
48CC6113|Dunkelkammer - CC - im Freien
48CC6114|einen Film bzw. Photos bearbeiten (entwickeln, abziehen) - CC - im Freien
48CC61141|einen Film bzw. Photos entwickeln - CC - im Freien
48CC61142|einen Film bzw. Photos abziehen - CC - im Freien
48CC621|der arbeitende Filmkünstler - CC - im Freien
48CC6211|Filmstudio - CC - im Freien
48CC6212|filmen; Filmkünstler bei der Arbeit - CC - im Freien
48CC62121|Produktion eines Spielfilms - CC - im Freien
48CC62122|Produktion eines Zeichentrickfilms - CC - im Freien
48CC6213|Montage eines Films; einen Film schneiden; Cutting - CC - im Freien
48CC7|Musik - CC - im Freien
48CC70|symbolische Darstellungen, Allegorien und Embleme der Musik; Musica; Ripa: Musica - CC - im Freien
48CC701|Ursprung der Musik - CC - im Freien
48CC702|magische Kraft der Musik - CC - im Freien
48CC71|Komponist - CC - im Freien
48CC711|der arbeitende Komponist - CC - im Freien
48CC7110|Inspiration des Komponisten - CC - im Freien
48CC71101|der Komponist und seine Muse - CC - im Freien
48CC712|ein Komponist in Situationen, in denen er nicht arbeitet - CC - im Freien
48CC713|Porträt eines Komponisten - CC - im Freien
48CC72|Musiker - CC - im Freien
48CC721|ein arbeitender Musiker - CC - im Freien
48CC7210|Inspiration des Musikers - CC - im Freien
48CC72101|der Musiker und seine Muse - CC - im Freien
48CC7211|ein Musiker unterrichtet Schüler; Musikunterricht - CC - im Freien
48CC722|ein Musiker in Situationen, in denen er nicht arbeitet - CC - im Freien
48CC723|Porträt eines Musikers - CC - im Freien
48CC723(...)|Porträt eines Musikers (mit NAME des Berufs) - CC - im Freien
48CC73|Musikinstrumente; Gruppe von Musikinstrumenten - CC - im Freien
48CC731|Saiteninstrumente (Streichinstrumente) - CC - im Freien
48CC7311|Violine, Geige, Fiedel - CC - im Freien
48CC7312|Viola, Violoncello; Kontrabaß - CC - im Freien
48CC7313|Viole, Gambe, Rebec (Streichinstrumente) - CC - im Freien
48CC7314|Drehleier - CC - im Freien
48CC7315|andere Streichinstrumente - CC - im Freien
48CC7315(...)|andere Streichinstrumente (mit NAMEN) - CC - im Freien
48CC732|Saiteninstrumente (Zupfinstrumente) - CC - im Freien
48CC7321|Lyra, Leier, Zither, Psalterium - CC - im Freien
48CC7322|Harfe - CC - im Freien
48CC7323|Laute; Sonderformen der Laute, z.B.: Theorbe - CC - im Freien
48CC7324|Kithara, Mandoline, Gitarre, Balalaika - CC - im Freien
48CC7325|Hackbrett, Zither - CC - im Freien
48CC7326|andere Zupfinstrumente - CC - im Freien
48CC7326(...)|andere Zupfinstrumente (mit NAMEN) - CC - im Freien
48CC733|Tasteninstrumente - CC - im Freien
48CC7331|Spinett, Virginal - CC - im Freien
48CC7332|Klavichord, Cembalo - CC - im Freien
48CC7333|Klavier - CC - im Freien
48CC73331|Konzertflügel - CC - im Freien
48CC7334|Orgel - CC - im Freien
48CC73341|Kirchenorgel - CC - im Freien
48CC7335|Akkordeon - CC - im Freien
48CC7336|andere Tasteninstrumente - CC - im Freien
48CC7336(...)|andere Tasteninstrumente (mit NAMEN) - CC - im Freien
48CC734|Schlaginstrumente - CC - im Freien
48CC7341|Trommel - CC - im Freien
48CC73411|Tamburin - CC - im Freien
48CC7342|Klappern, Kastagnetten - CC - im Freien
48CC7343|Glockenspiel, Glockengeläut - CC - im Freien
48CC73431|Glocke (als Musikinstrument) - CC - im Freien
48CC7344|andere Schlaginstrumente - CC - im Freien
48CC7344(...)|andere Schlaginstrumente (mit NAMEN) - CC - im Freien
48CC735|Blasinstrumente - CC - im Freien
48CC7351|Flöte, Aulos, Schnabelflöte - CC - im Freien
48CC73511|Blockflöte - CC - im Freien
48CC73512|Klarinette, Fagott, Oboe, Schalmei - CC - im Freien
48CC73513|Querflöte - CC - im Freien
48CC7352|Horn, Trompete, Kornett, Posaune, Tuba - CC - im Freien
48CC73521|Saxophon - CC - im Freien
48CC7353|Panflöte - CC - im Freien
48CC7354|Dudelsack, Musette - CC - im Freien
48CC7355|Mundharmonika - CC - im Freien
48CC7356|andere Blasinstrumente - CC - im Freien
48CC7356(...)|andere Blasinstrumente (mit NAMEN) - CC - im Freien
48CC7356(CONCH)|andere Blasinstrumente: Tritonshorn - CC - im Freien
48CC736|Instrumente für Volksmusik, U-Musik - CC - im Freien
48CC737|improvisierte Musikinstrumente (Küchengeräte etc.) - CC - im Freien
