2|nature
25D11(CHALCEDONY)|chalcedony
25D11(CHRYSOBERYL)|chrysoberyl
25D11(CHRYSOLITE)|chrysolite
25D11(CHRYSOPRASE)|chrysoprase
25D11(DIAMOND)|diamond
25D11(EMERALD)|emerald
25D11(JASPER)|jasper
25D11(ROCK-CRYSTAL)|rock-crystal
25D11(RUBY)|ruby
25D11(SAPPHIRE)|sapphire
25D11(TOPAZ)|topaz
25D11(TURQUOISE)|turquoise
25D12|stone
25D12(CHALK)|chalk
25D12(FLINT)|flint
25D12(MARBLE)|marble
25D12(PUMICE)|pumice
25D13|metal
25D13|mineral
25D13(BITUMEN)|bitumen
25D13(COPPER)|copper
25D13(GOLD)|gold
25D13(IRON)|iron
25D13(LEAD)|lead
25D13(MAGNETITE)|magnetite
25D13(MERCURY)|mercury
25D13(MERCURY)|quicksilver
25D13(PLATINUM)|platinum
25D13(SILVER)|silver
25D13(SULPHUR)|sulphur
25D13(TIN)|tin
25D14|animal
25D14|plant
25D141|anthracite
25D141|coal
25D142|brown coal
25D142|coal
25D142|lignite
25D143|amber
25D143|fossil
25D143|resin
25D15|crystal
25D2|soil
25D211|humus
25D22|gravel
25D23|sand
25D24|clay
25D241|loam
25D242|loess
25D25|peat
25D26|dirt
25D26|mud
25D29|dust
25D3|mining
25D31|mine
25D311|opencast mine
25D311|strip mining
25D312|gallery
25D312|shaft
25D32|miner
25D32|occupations
25D321|prospector
25D33|edifice
25D34|quarry
25D35|blast-furnace
25D35|furnace
25D35|ore
25D35|smelting
25D4|fluid
25D41|mineral water
25D41|water
25D411|healing
25D411|medicament
25D411|spring (source)
25D421|spring (source)
25D43|oil
25D431|drilling
25D4311|derrick
25D4312|drilling platform
25D4312|platform
25D432|pump
25D4321|eruption
25D4321|gusher
25D4321|spring (source)
25D433|transporting
25D4331|pipe system
25D4331|pipeline
25D434|refinery
25D435|tank (container)
25D44|asphalt
25D44|macadam
25D45|gas
25D45|ground
25D451|coal
25D4511|factory
25D4511|gasworks
25D4512|gasholder
25D4512|tank (container)
25D5|earthquake
25D5|geology
25D5|landslide
25D5|motion
25E|chronology
25E|geology
25E|history
25E(BIG BANG)|Big Bang
25E(CENOZOIC)|Cenozoic
25E(PALEOZOIC)|Paleozoic
25E(PALEOZOIC)|Primary
25E(TERTIARY)|Tertiary
25F|animal
25F1|group
25F2|mammal
25F21|group
25F22|monkey
25F22(BABOON)|baboon
25F23|predatory animal
25F23(BADGER)|badger
25F23(BEAR)|bear
25F23(CHEETAH)|cheetah
25F23(ERMINE)|ermine
25F23(FERRET)|ferret
25F23(FOX)|fox
25F23(HYENA)|hyena
25F23(ICHNEUMON)|ichneumon
25F23(LEOPARD)|leopard
25F23(LION)|lion
25F23(LYNX)|lynx
25F23(MANGOUSTE)|mangouste
25F23(MARTEN)|marten
25F23(OTTER)|otter
25F23(PANTHER)|panther
25F23(POLAR BEAR)|polar bear
25F23(SABLE)|sable
25F23(TIGER)|tiger
25F23(WEASEL)|weasel
25F23(WOLF)|wolf
25F24|hoofed animal
25F24(...)|reindeer
25F24(ANTELOPE)|antelope
25F24(BISON)|aurochs
25F24(BISON)|bison
25F24(BISON)|bonasus
25F24(BOAR)|boar
25F24(CAMEL)|camel
25F24(DEER)|deer
25F24(DROMEDARY)|dromedary
25F24(ELK)|elk
25F24(GAZELLE)|gazelle
25F24(GIRAFFE)|giraffe
25F24(GNU)|gnu
25F24(HIPPOPOTAMUS)|hippopotamus
25F24(IBEX)|ibex
25F24(MUSK-DEER)|musk-deer
25F24(ONAGER)|onager
25F24(ORYX)|oryx
25F24(QUAGGA)|quagga
25F24(RHINOCEROS)|rhinoceros
25F24(STAG)|stag
25F24(ZEBRA)|zebra
25F25|trunked animal
25F25(ELEPHANT)|elephant
25F26|rodent
25F26(BEAVER)|beaver
25F26(HARE)|hare
25F26(MOUSE)|mouse
25F26(MUSK-RAT)|musk-rat
25F26(MUSK-RAT)|musquash
25F26(RABBIT)|rabbit
25F26(RAT)|rat
25F26(SQUIRREL)|squirrel
25F26(WOMBAT)|wombat
25F27|sea-mammal
25F27(DOLPHIN)|dolphin
25F27(SEAL)|seal (mammal)
25F27(WHALE)|whale
25F28|flying mammal
25F28(BAT)|bat
25F29(ARMADILLO)|armadillo
25F29(HEDGEHOG)|hedgehog
25F29(KANGAROO)|kangaroo
25F29(KANGAROO)|marsupial
25F29(MOLE)|mole (mammal)
25F29(PORCUPINE)|porcupine
25F29(SLOTH)|sloth
25F3|bird
25F31|group
25F32|song-bird
25F32(BLACKBIRD)|blackbird
25F32(CROW)|crow
25F32(FINCH)|finch
25F32(GOLDFINCH)|goldfinch
25F32(JACKDAW)|jackdaw
25F32(LARK)|lark
25F32(MAGPIE)|magpie
25F32(NIGHTINGALE)|nightingale
