2|自然
23R1|一天二十四小時,自然的一天
23R10|'Giorno naturale', 'Carro del giorno naturale' (Ripa)
23R11|上午
23R110|上午的人格化
23R111|上午 ~ 風景 (有時稱為'Aurora')
23R112|上午 ~ 其它的概念
23R113|中午
23R12|下午
23R120|下午的人格化
23R121|下午 ~ 風景 (有時稱為'Meridies')
23R122|下午 ~ 其它的概念
23R13|晚間
23R130|晚間的人格化
23R131|晚間 ~ 風景 (有時稱為'Vesper')
23R132|晚間 ~ 其它的概念
23R14|夜間
23R140|夜間的人格化
23R141|夜間 ~ 風景 (有時稱為'Nox')
23R142|夜間 ~ 其它的概念
23R2|從日出到日落的一天
23R20|'Giorno artificiale', 'Carro del giorno artificiale', 'Serenità del giorno, ninfa dell'aria' (Ripa)
23R3|二十四小時的白天和黑夜
23R31|前十二小時
23R310|'Hore del giorno' ('Hora prima', 'Hora seconda', 'Hora terza', 'Hora quarta', 'Hora quinta', 'Hora sesta', 'Hora settima', 'Hora ottava', 'Hora nona', 'Hora decima', 'Hora undecima', 'Hora duodecima') (Ripa)
23R32|後十二小時
23R320|'Hore della notte' ('Hora prima', 'Hora seconda', 'Hora terza', 'Hora quarta', 'Hora quinta', 'Hora sesta', 'Hora settima', 'Hora ottava', 'Hora nona', 'Hora decima', 'Hora undecima', 'Hora duodecima') (Ripa)
23S|世界性的帝國
23S1|四個世界性的帝國 (巴比倫, 波斯, 希臘, 羅馬)
23S11|巴比倫
23S12|波斯
23S13|希臘
23S14|羅馬
23S2|根據聖經來劃分的世界性的帝國
23S21|世界性的帝國由不同材質的雕塑來象徵 (但以理書ch. 2)
23S22|世界性的帝國由四個野獸來象徵 (但以理書ch. 7)
23S3|根據其它方式來劃分世界性的帝國
23T|歷史時期
23T1|世界歷史劃分為從亞當到末世的七個時期
23T11|從亞當到諾亞的時期 ~ 世界歷史
23T12|從諾亞到亞伯拉罕或摩西的時期 ~ 世界歷史
23T13|從亞伯拉罕或摩西到大衛的時期 ~ 世界歷史
23T14|從大衛到巴比伦被掳的時期 ~ 世界歷史
23T15|從巴比伦被掳到基督到來的時期 ~ 世界歷史
23T16|從基督到到末世的時期 ~ 工作, 甦醒
23T17|從基督到到末世的時期 ~ 睡眠, 休息(永恆的安息)
23T2|現代劃分歷史時期
23T21|史前 (歷史時期)
23T22|古代 (歷史時期)
23T23|古典 (歷史時期)
23T24|黑暗時代 (歷史時期)
23T25|中世紀 (歷史時期)
23T26|文藝復興時期 (歷史時期,十六世紀)
23T27|現代劃分歷史時期 ~ 世紀
23T27(...)|現代劃分歷史時期 ~ 世紀(用羅馬數字紀錄的)
23U|編年史
23U1|日歷,曆書
23U11|萬年歷
23U2|測量時間(的儀器)
23U20|'Horografia' (Ripa)
23U21|日晷儀
23U22|時漏
23U23|水鐘
23U24|時鐘
23U241|鐘表匠
23U25|(手)錶
24|天文
240|對天文(天體)寓言式的再現 
24A|太陽作為天體 
24A1|日出 
24A11|黎明 
24A110|'Crepuscolo della matina' (Ripa)
24A2|日落 
24A21|黃昏 
24A210|'Crepuscolo della sera' (Ripa)
24A3|日食 
24A31|日全食 
24A4|夜半太陽 
24A5|太陽的物理方面 
24A51|太陽黑子 
24A52|太陽的通常現象: 幻日,太陽光斑,等等 
24A6|太陽被再現成面龐,車輪,等等 
24A7|太陽的位置 
24A71|夏至,仲夏日 
24A710|'Solstitio estivo' (Ripa)
24A72|秋分 
24A720|'Equinottio dell'autunno' (Ripa)
24A73|冬至 
24A730|'Solstitio hiemale' (Ripa)
24A74|春分 
24A740|'Equinottio della primavera' (Ripa)
24A8|太陽光 
24A81|太陽光線 
24B|月亮作為天體 
24B1|上弦月,即朝向如此: ) 
24B11|上弦月被再現為面龐 
24B2|月圓 
24B21|圓月被再現為面龐 
24B3|下弦月,即朝向如此: ( 
24B31|下弦月被再現為面龐 
24B4|月食 
24B5|月亮的表面 
24B6|月光 
24B61|月亮的光線 
24B62|對著月亮沉思, 'schwärmen'
24B7|月出 
24B8|月落 
24C|行星(地球除外)
24C1|行星;行星系統,太陽系 
24C11|谷神星(行星) 
24C12|木星(行星) 
24C13|火星(行星) 
24C14|水星(行星) 
24C15|海王星(行星) 
24C16|冥王星(行星) 
24C17|土星(行星) 
24C18|天王星(行星) 
24C19|金星(行星) 
24C191|啟明星(金星) 
24C192|昏星(金星或其它行星) 
24C2|人類受行星的影響,包括日和月; 'Planetenkinder' 
24C21|行星及其'子女'(的人格化),所謂'Planetenkinder' 
24C211|土星及其'子女'('Planetenkinder') 
24C212|木星及其'子女'('Planetenkinder') 
24C213|火星及其'子女'('Planetenkinder') 
24C214|太陽及其'子女'('Planetenkinder') 
24C215|金星及其'子女'('Planetenkinder') 
24C216|水星及其'子女'('Planetenkinder') 
24C217|月亮及其'子女'('Planetenkinder') 
24C22|行星及其'子女'(的人格化),所謂'Planetenkinder',由它們的相應星座附號陪伴 
24C221|土星及其'子女'('Planetenkinder') ~ 水瓶座和摩羯座 
24C222|木星及其'子女'('Planetenkinder') ~ 雙魚座和射手座 
24C223|火星及其'子女'('Planetenkinder') ~ 白羊座和天蠍座 
24C224|太陽及其'子女'('Planetenkinder') ~ 獅子座 
24C225|金星及其'子女'('Planetenkinder') ~ 金牛座和天秤座 
24C226|水星及其'子女'('Planetenkinder') ~ 雙子座和處女座 
24C227|月亮及其'子女'('Planetenkinder') ~ 巨蟹座 
24C3|七大行星為一組來象徵金屬 
24C31|太陽再現金 
24C32|月亮再現銀 
24C33|水星再現汞 
24C34|金星再現銅 
24C35|火星再現鐵 
24C36|木星再現錫 
24C37|土星再現鉛 
24C39|其它天體代表金屬 
24C39(...)|其它天體代表金屬(名稱) 
24C39(URANUS)|天王星代表鉑(天王星) 
24D|恆星
24D0|恆星,被象徵性的或寓言式的表現 
24D1|恆星和星座 
24D1(...)|恆星和星座(名稱) 
24D1(ORION)|恆星和星座:獵戶星座 
24D1(POLARIS)|恆星和星座:北極星座 
24D1(SIRIUS)|恆星和星座:天狼星座 
24D11|天官法,為了尊崇某人將其置於星際 
24D2|星系
24D21|銀河系
24D211|銀河系的起源（朱諾乳大力神）
24D4|其它星系 
24D4(...)|其它星系(名稱) 
24E|天文現象
24E1|彗星 
24E10|'Cometa, ninfa dell'aria' (Ripa)
24E2|流星 
24E3|隕石 
24F|天空,夜空
24F1|仰望天空 
24F2|星星在天空 
24G|多重天 ~ 天文
24G1|最高天 
25|地理
250|'Mondo', 'Machina del mondo' (Ripa)
25A|地圖,地圖集
25A1|世界地圖 
25A11|根據世界形狀的古老觀念的方形或圓形地圖 
25A111|世界的中心,(地圖或地圖集上的)'omphalos'  
25A1111|耶路撒冷作為中心的地圖 
25A1112|特爾菲作為'omphalos'的地圖 
25A12|現代投影 ~ 世界地圖 
25A13|地球 
25A131|正二十面體形的地球 
25A14|四個主要方向 
25A141|北方(四個主要方位之一)  
25A1410|'Settentrione' (Ripa)
25A142|東方(四個主要方位之一) 
25A1420|'Oriente' (Ripa)
25A1421|方位, 面向東方
25A143|南方(四個主要方位之一) 
25A1430|'Mezzodì' (Ripa)
25A144|西方(四個主要方位之一) 
25A1440|'Occidente' (Ripa)
25A15|緯度和經度 
25A151|緯度 
25A1511|赤道 
25A1512|熱帶 
25A152|經度 
25A1521|子午線 
25A2|各大陸和南北極地圖 
25A21|歐洲(地圖) 
25A22|亞洲(地圖) 
25A23|歐亞(地圖) 
25A24|非洲(地圖) 
25A25|美洲(地圖) 
25A251|北美洲(地圖) 
25A252|南美洲(地圖) 
25A26|澳洲(地圖) 
25A27|南北極(地圖) 
25A271|北極(地圖) 
25A272|南極(地圖) 
25A3|國家或地區地圖 
25A3(...)|國家或地區地圖(名稱) 
25A4|城市地圖 
25A4(...)|城市地圖(名稱) 
25A5|海圖 
25A9|製圖 
25A90|'Corografia', 'Geografia', 'Hidrografia' (Ripa)
25A91|大地測量學,測量 
25A910|'Altimetria' (Ripa)
25A911|測地學儀器,測量儀器 
25A911(...)|測地學儀器,測量儀器(名稱) 
25A9111|十字測天儀(測量儀器) 
25B|各大陸被寓言式表現 
25B1|歐洲被寓言式表現; 'Europa' (Ripa) 
25B2|亞洲被寓言式表現; 'Asia' (Ripa) 
25B3|非洲被寓言式表現; 'Africa' (Ripa) 
25B4|美洲被寓言式表現; 'America' (Ripa) 
25B5|澳洲被寓言式表現 
25B6|南北極被寓言式表現
25B61|北極被寓言式表現
25B62|南極被寓言式表現
25C|地理現象 
25C1|火山活動 
25C11|(火山的)噴發 
25C111|熔岩流 
25C112|火山灰雲 
25C12|火山 
25C13|溫泉 
25C14|煙霧,硫黃,等等 
25C15|地震 
25C150|'Terremoto' (Ripa)
25C151|地震的後果 
25C16|山脈的成因 
25C17|海島的成因 
25C19|死火山 
25C191|火山的形成 
25C192|冷熔岩 
25C2|地磁 
25C21|羅盤 
25C211|羅盤刻度盤 
25D|岩石類型;礦物和金屬;土壤類型
25D1|岩石類型
25D11|寶石和準寶石
25D11(...)|寶石和準寶石(名稱)
25D11(ALMANDINE)|寶石和準寶石:鐵鋁石榴子石 
25D11(AMETHYST)|寶石和準寶石:紫石英 
25D11(CHALCEDONY)|寶石和準寶石:玉髓
25D11(CHRYSOBERYL)|寶石和準寶石:金綠寶石 
25D11(CHRYSOLITE)|寶石和準寶石:貴橄欖石 
25D11(CHRYSOPRASE)|寶石和準寶石:綠玉髓 
25D11(DIAMOND)|寶石和準寶石:鑽石 
25D11(EMERALD)|寶石和準寶石:翡翠 
