2|自然
#31AA4111|blind, blindness - AA - metaphorically blind
#31AA4112|cross-eyed; squint - AA - 女性人體
#31AA4113|cataract - AA - 女性人體
#31AA4114|near-sightedness, myopia - AA - 女性人體
#31AA4115|far-sightedness - AA - 女性人體
#31AA412|deaf, deafness - AA - 女性人體
#31AA4121|deaf-mute, deaf and dumb - AA - 女性人體
#31AA413|deformations of the head - AA - 女性人體
#31AA4131|hare-lip - AA - 女性人體
#31AA414|paralytic - AA - 女性人體
#31AA415|crippled - AA - 女性人體
#31AA4151|club-foot - AA - 女性人體
#31AA4152|wooden leg - AA - 女性人體
#31AA4153|crutches - AA - 女性人體
#31AA4154|wheelchair, bathchair - AA - 女性人體
#31AA4155|brace, calliper - AA - 女性人體
#31AA416|crooked, bent person - AA - 女性人體
#31AA417|hunchback - AA - 女性人體
#31AA418|albino - AA - 女性人體
#31AA419|mutilated person - AA - 女性人體
#31AA42|human beings (legendary or not) of abnormal proportions, size, strength, etc. - AA - 女性人體
#31AA421|giants, colossi - AA - 女性人體
#31AA422|dwarfs - AA - 女性人體
#31AA4221|pygmies, midgets - AA - 女性人體
#31AA4222|goblins, hobgoblins - AA - 女性人體
#31AA4223|'grylloi' - AA - 女性人體
#31AA423|human beings with superhuman powers or achievements - AA - 女性人體
#31AA423(...)|human beings with superhuman powers or achievements (名稱) - AA - 女性人體
#31AA43|multiple birth (legendary) - AA - 女性人體
#31AA431|very large number of births - AA - 女性人體
#31AA431(...)|very large number of births (with NUMBER) - AA - 女性人體
#31AA44|anthropomorphic beings (legendary or not) with heads, limbs or organs of an abnormal number, in abnormal places or of an abnormal shape) - AA - 女性人體
#31AA441|anthropomorphic beings with parts missing - AA - 女性人體
#31AA4411|'Acephalia', 'Blemyae', i.e. beings without head - AA - 女性人體
#31AA4412|'Scopodes', 'Sciapodes', i.e. beings with one leg - AA - 女性人體
#31AA4413|creatures with one eye - AA - 女性人體
#31AA4414|'Acheiroi', i.e. creatures without hands - AA - 女性人體
#31AA442|anthropomorphic beings with parts in greater number than normal - AA - 女性人體
#31AA4421|three-faced being, 'vultus trifrons' - AA - 女性人體
#31AA44211|'caput triciput', 'signum triceps' - AA - 女性人體
#31AA4422|anthropomorphic being with two upper bodies - AA - 女性人體
#31AA443|anthropomorphic beings with limbs, organs, etc. in unusual places - AA - 女性人體
#31AA4431|'oculi in humeris habentes' - AA - 女性人體
#31AA444|anthropomorphic beings with parts of abnormal shape - AA - 女性人體
#31AA4441|excessive hairiness - AA - female
#31AA44411|wild man, wodewose, woodehouse - AA - female
#31AA44412|person with big beard - AA - female
#31AA45|monsters of mixed human and animal shape; 'Mostri' (Ripa) - AA - 女性人體
#31AA451|monsters ~ animals in general (of undetermined kind) - AA - 女性人體
#31AA4511|monsters with animal head - AA - 女性人體
#31AA45111|monsters with three animal heads - AA - 女性人體
#31AA4512|animals with human head - AA - 女性人體
#31AA4512(...)|animals with human head (名稱) - AA - 女性人體
#31AA452|monsters ~ 哺乳動物 - AA - 女性人體
#31AA4521|monsters ~ 家禽 - AA - 女性人體
#31AA45211|cynocephalus - AA - 女性人體
#31AA4522|monsters ~ apes, 猴 - AA - 女性人體
#31AA4523|monsters ~ predatory animals (sphinx, 'manticora') - AA - 女性人體
#31AA45231|sphinx (lion/woman); 'Sfinge' (Ripa) - AA - 女性人體
#31AA45232|'manticora' - AA - 女性人體
#31AA4524|monsters ~ 有蹄類動物 - AA - 女性人體
#31AA4525|monsters ~ 象鼻類動物 - AA - 女性人體
#31AA4526|monsters ~ 囓齒目 - AA - 女性人體
#31AA4527|monsters ~ 水栖哺乳動物 - AA - 女性人體
#31AA4528|monsters ~ 會飛類哺乳動物 - AA - 女性人體
#31AA4529|monsters ~ 其它 哺乳動物 - AA - 女性人體
#31AA453|monsters ~鳥類 - AA - female
#31AA4531|siren (fabulous bird with woman's head) - AA - female
#31AA454|monsters ~ reptiles - AA - 女性人體
#31AA4541|monsters ~ lizards - AA - 女性人體
#31AA4542|monsters ~ snakes - AA - 女性人體
#31AA455|monsters ~ 水陸兩棲動物 - AA - 女性人體
#31AA456|monsters ~魚類 - AA - 女性人體
#31AA4561|merman - AA - mermaid, siren
#31AA457|monsters ~ 低級動物 - AA - 女性人體
#31AA458|fabulous beings with wings - AA - 女性人體
#31AA4581|fairy - AA - 女性人體
#31AA4582|elf - AA - 女性人體
#31AA46|diseases - AA - 女性人體
#31AA461|pain - AA - 女性人體
#31AA4611|fever - AA - 女性人體
#31AA46110|'Febre' (Ripa) - AA - 女性人體
#31AA462|diseases affecting the whole body - AA - epidemic diseases
#31AA462(...)|diseases affecting the whole body (名稱) - AA - epidemic diseases
#31AA4621|plague - AA - plague epidemic
#31AA46210|personification of plague - AA - personification of plague epidemic; 'Peste overo Pestilentia' (Ripa)
#31AA4622|leprosy - AA - epidemic diseases
#31AA46221|leper's rattle - AA - epidemic diseases
#31AA46222|leprosarium - AA - epidemic diseases
#31AA46223|leper's procession - AA - epidemic diseases
#31AA4623|(其它) contagious diseases - AA - epidemic diseases
#31AA4623(...)|(其它) contagious diseases (名稱) - AA - epidemic diseases
#31AA46230|contagious disease personified; 'Contagione' (Ripa) - AA - epidemic diseases
#31AA4624|skin and venereal diseases - AA - epidemic diseases
#31AA4624(...)|skin and venereal diseases (名稱) - AA - epidemic diseases
#31AA4624(SYPHILIS)|skin and venereal diseases: syphilis - AA - epidemic diseases
#31AA46241|itching - AA - epidemic diseases
#31AA46242|ulcer - AA - epidemic diseases
#31AA4625|dropsy - AA - epidemic diseases
#31AA4626|aids - AA - aids epidemic
#31AA4629|poisoning - AA - epidemic diseases
#31AA4629(...)|poisoning (名稱) - AA - epidemic diseases
#31AA4629(ERGOTISM)|poisoning: ergotism - AA - epidemic diseases
#31AA463|diseases affecting parts of the body - AA - 女性人體
#31AA463(...)|diseases affecting parts of the body (名稱) - AA - 女性人體
#31AA4631|fractures of bones - AA - 女性人體
#31AA4632|infections and wounds - AA - 女性人體
#31AA46321|scar, cicatrix - AA - 女性人體
#31AA4633|diseases of the head or parts of the head - AA - 女性人體
#31AA46331|headache - AA - 女性人體
#31AA46332|cold (disease) - AA - 女性人體
#31AA463321|sneezing - AA - 女性人體
#31AA463322|coughing - AA - 女性人體
#31AA46333|toothache - AA - 女性人體
#31AA4634|tumours - AA - 女性人體
#31AA46341|external tumours - AA - 女性人體
#31AA46342|internal tumours - AA - 女性人體
#31AA464|emotional illness, derangement, madness - AA - 女性人體
#31AA4640|Madness - AA - 女性人體
#31AA4641|possession (by demons) - AA - 女性人體
#31AA4642|mania, obsession - AA - 女性人體
#31AA46421|epidemic obsession - AA - 女性人體
#31AA464211|dancing mania, St. Vitus's dance - AA - 女性人體
#31AA469|health - AA - 女性人體
#31AA4690|Health, 'Sanitas'; 'Sanità' (Ripa) - AA - 女性人體
31AA5|身體護理, 衛生 - AA - 女性人體
#31AA51|making toilet - AA - (for) women
#31AA511|mirror - AA - (for) women
#31AA5111|looking in the mirror; (possibly: contemplation of own beauty - AA - (for) women)
#31AA51111|reflection (in a mirror) - AA - (for) women
#31AA511111|distortion - AA - (for) women
#31AA5112|magic beautification - AA - (for) women
#31AA512|putting on jewels - AA - (for) women
#31AA513|making up - AA - (for) women
#31AA514|using scents, perfumes, ointments, etc. - AA - (for) women
#31AA5141|scents - AA - (for) women
#31AA5141(...)|scents (名稱) - AA - (for) women
#31AA5142|perfumes - AA - (for) women
#31AA5142(...)|perfumes (名稱) - AA - (for) women
#31AA5143|ointments - AA - (for) women
#31AA5144|powder ~ making toilet - AA - (for) women
#31AA5145|implements ~ making toilet - AA - (for) women
#31AA5145(...)|implements ~ making toilet (名稱) - AA - (for) women
#31AA51451|pomander, musk ball - AA - (for) women
#31AA51452|perfume bottle - AA - (for) women
#31AA51453|ointment-jar - AA - (for) women
#31AA51454|powder-box - AA - (for) women
#31AA51455|lipstick - AA - (for) women
#31AA515|painting of body or face - AA - (for) women
#31AA5151|tattooing - AA - (for) women
#31AA52|care of hands and feet - AA - 女性人體
#31AA521|manicure - AA - 女性人體
#31AA522|pedicure - AA - 女性人體
#31AA523|'Spinario', child pulling a thorn out of its foot - AA - girl
#31AA53|hairdress - AA - ~ women
#31AA531|care of the hair - AA - ~ women
#31AA5311|comb, brush and 其它 tools (care of the hair) - AA - ~ women
#31AA532|hair-cutting - AA - ~ women
#31AA5321|hairdresser - AA - ~ women
#31AA533|styles of hairdress - AA - ~ women
#31AA533(...)|styles of hairdress (名稱) - AA - ~ women
#31AA5331|wig - AA - ~ women
#31AA5332|shaven head - AA - ~ women
#31AA5333|tonsure - AA - ~ women
#31AA5334|lock of hair - AA - ~ women
#31AA5339|baldness - AA - ~ women
#31AA534|beard - AA - ~ women
#31AA5341|moustache - AA - ~ women
#31AA5342|whiskers - AA - ~ women
#31AA5349|false beard or moustache - AA - ~ women
#31AA535|barber, barbershop - AA - ~ women
#31AA5351|razor - AA - ~ women
#31AA5352|barber's basin - AA - ~ women
#31AA5353|shaving, being shaved - AA - ~ women
#31AA53531|shaving oneself - AA - ~ women
#31AA539|tousled hair - AA - ~ women
#31AA54|washing and bathing - AA - in the open air
#31AA541|washing one's hands - AA - in the open air
#31AA542|washing one's face and head - AA - in the open air
#31AA5421|brushing one's teeth - AA - in the open air
#31AA54211|toothbrush - AA - in the open air
#31AA54212|toothpick - AA - in the open air
#31AA543|washing one's feet - AA - in the open air
#31AA544|washing another person's feet - AA - in the open air
#31AA545|taking a bath - AA - in the open air
#31AA5451|public baths - AA - in the open air
#31AA5452|hip-bath - AA - in the open air
#31AA5453|shower-bath - AA - in the open air
#31AA5454|tub-bath - AA - in the open air
#31AA5459|'après le bain' - AA - in the open air
#31AA546|toilet articles ~ washing and bathing - AA - in the open air
#31AA5461|soap - AA - in the open air
#31AA54611|soap-bubble - AA - in the open air
#31AA5462|brush, sponge, etc. (toilet articles) - AA - in the open air
#31AA5463|towel - AA - in the open air
#31AA5464|bath-robe, dressing-gown - AA - in the open air
#31AA549|drying, being dried - AA - in the open air
#31AA55|dressing and undressing - AA - 女性人體
#31AA551|dressing oneself, getting dressed - AA - 女性人體
#31AA5511|lacing up a corset - AA - 女性人體
#31AA552|undressing oneself, getting undressed - AA - 女性人體
#31AA553|putting on (tying) or taking off (untying) sandals or shoes - AA - 女性人體
#31AA5531|putting on or taking off stockings - AA - 女性人體
#31AA554|dressing someone else - AA - 女性人體
#31AA5541|stripping, undressing someone else - AA - 女性人體
#31AA559|partially clothed - AA - 女性人體
#31AA5591|négligé - AA - 女性人體
#31AA56|servant - AA - chambermaid
#31AA57|removing 昆蟲 from body - AA - 女性人體
#31AA571|'motherly care', delousing - AA - 女性人體
#31AA572|looking for fleas - AA - 女性人體
#31AA58|body-building - AA - 女性人體
31AA6|生理需要 - AA - 女性人體
#31AA61|urination - AA - 女性人體
#31AA611|chamber-pot - AA - 女性人體
#31AA62|defecation - AA - 女性人體
#31AA621|flatulence - AA - 女性人體
#31AA622|digestion - AA - 女性人體
#31AA6220|'Digestione' (Ripa) - AA - 女性人體
#31AA63|vomiting - AA - 女性人體
#31AA631|hiccoughing - AA - 女性人體
#31AA64|nose-blowing - AA - 女性人體
#31AA65|spitting - AA - 女性人體
#31AA651|spittle, spit - AA - 女性人體
#31AA66|sweating, perspiration - AA - 女性人體
31AA8|作為機器的身體 - AA - 女性人體
31AA9|裝著治癒或改進部份身體的各種辦法ways pretending to cure or improve parts of the body - AA - 女性人體
31B|心智，精神
31B0|象徵性的表現, 人格化寓言和象徵圖案 ~ 心智，精神
31B1|睡眠
31B10|'Sonno' (Ripa)
31B11|在床上睡眠
31B12|在椅子上睡眠
31B13|在地上睡眠
31B14|打呵欠
31B15|伸懶腰 ~ 睡眠
31B16|去睡覺
31B161|上床
31B162|午睡
31B17|醒來
31B171|起床
31B18|無知覺
31B181|暈厥, 暈
31B19|休息
31B2|幻象
31B21|恍惚或狂喜中的幻象
31B3|夢
31B31|噩夢
31B32|夢遊
31B33|預言性的夢
31B34|解夢
31B4|催眠和暗示
31B5|受飲料、藥物或興奮劑影響的心智
31B51|陶醉
31B52|酒醉
31B520|'Ubriachezza' (Ripa)
31B521|醉漢
31B522|醉漢的打鬧 (通常農民在酒館裡打架)
31B53|癮癖
31B531|酗酒
31B59|清醒自制; 'Sobrietà', 'Astinenza' (Ripa)
31B591|戒酒, 絕對戒酒主義
31B6|人類表情的形態
31B61|一般性人類表情的形態
31B62|面部表情的形態
31B621|面部表情的形態 ~ 眼
31B6211|仰視
31B6212|俯視
31B6213|側視
31B6214|哭泣
31B62141|淚
31B6215|皺眉
31B6216|抬起眉毛
31B6217|閉目
31B62171|一隻眼睛閉起來, 眨眼
31B622|面部表情的形態 ~ 鼻
31B6221|鼻子朝上
31B6222|捏著鼻子
31B6223|鼻孔完全張開
31B623|面部表情的形態 ~ 口
31B6231|緊閉雙脣
31B62311|雙脣關閉像是要親吻lips pressed together as for a kiss
31B62312|吹口哨或發出噓聲
31B62313|微笑
31B6232|口微開
31B62321|笑
31B623210|'Riso' (Ripa)
31B62322|作怪相
31B62323|舌頭伸出來
31B6233|口大開
31B62331|口大開, 牙齒緊閉
31B6234|咀嚼
31B62341|咬
31B6235|說話
31B62350|嗓音
31B62351|哭, 喊叫
31B62352|耳語,私語
31B62359|不出聲
31B623591|一個手指放在嘴唇上, 'Silentium'; 'Silentio' (Ripa)
31B623592|一條帶子綁在嘴上
31B624|面部表情的形態 ~ 雙頰,腮
31B6241|雙頰圓潤
31B6242|面頰深陷
31B625|面部表情的形態 ~ 額頭
31B6251|充滿皺紋的額頭
31B626|面部表情的形態 ~ 頭頂
31B6261|頭髮豎起
31B6262|拉頭髮
31B6263|撓頭
31B7|智者
31B71|天才
31B710|'Genio' (Ripa)
31B8|蠢材,傻瓜, 笨蛋
31B81|裝著治癒傻瓜的各種辦法ways pretending to cure simpletons (民俗)
31B811|剃頭 (裝著治癒傻瓜的各種辦法pretending to cure simpletons)
#31B812|烘焙腦袋, 如by the baker of Eeclo (heads temporarily replaced by cabbages)
#31B813|purging (裝著治癒傻瓜的各種辦法pretending to cure simpletons)
#31B814|pouring fluid into body, with the aid of a funnel
31B9|智者與蠢材
31BB1|睡眠; 無知覺 - BB - 戶外
31BB10|'Sonno' (Ripa) - BB - 戶外
31BB11|在床上睡眠 - BB - 戶外
31BB12|在椅子上睡眠 - BB - 戶外
31BB13|在地上睡眠 - BB - 戶外
31BB14|打呵欠 - BB - 戶外
31BB15|伸懶腰 ~ sleep - BB - 戶外
31BB16|去睡覺 - BB - 戶外
31BB161|上床 - BB - 戶外
31BB162|午睡 - BB - 戶外
31BB17|醒來 - BB - 戶外
31BB171|起床 - BB - 戶外
31BB18|無知覺 - BB - 戶外
31BB181|暈厥, 暈 - BB - 戶外
31BB19|休息 - BB - 戶外
31C|精神（或靈魂）或身體
31D|人生与年齡
31D1|人的年齡
31D11|幼年 ~ 人的年齡
31D110|嬰兒期 (alleg.)
31D111|嬰兒,  ~ 人的年齡
31D1111|男性嬰兒
31D1112|女性嬰兒
31D112|孩童
31D1120|兒童 (alleg.)
31D1121|娃娃, 蹣跚學步的兒童 ~ 人的年齡
31D11211|蹣跚學步的兒童 (男性)
31D11212|蹣跚學步的兒童 (女性)
31D1122|蹣跚學步與少年之間的孩童 (性別不確定)
31D11221|男孩 (蹣跚學步與少年之間)
31D112210|男孩 (alleg.)
31D11222|女孩 (蹣跚學步與少年之間)
31D112220|女孩 (alleg.)
31D1129|哲學孩童 ~ 煉金術
31D12|青年男子, 青年人, 少年人
31D120|青年, 少年, 'Iuventus'; 'Adolescenza', 'Gioventù' (Ripa)
31D13|少年, 少女, 閨女
31D130|未婚的閨女
31D14|成年
31D140|成年, (法定)成年; 'Virilità' (Ripa)
31D15|成年女性
31D150|女性
31D16|老年男人
31D160|老年, 'Senectus'; 'Vecchiezza' (Ripa)
31D161|'beau vieillard'
31D162|醜陋的老年男子
31D17|老婦
31D171|美麗的老年女子, 'belle vieille'
31D172|醜陋的老年女子, 老醜婦
31D2|人生分成幾個階段
31D2(...)|人生分成幾個階段, 如三、四、七、十二個階段 (數字)
31D21|人的年齡用台階來表現
31D21(...)|人的年齡用台階來表現 (台階的數目)
31D3|人生分成十年為一個階段
31D30|0-10 歲
31D31|10-20 歲
31D32|20-30 歲
31D33|30-40 歲
31D34|40-50 歲
31D35|50-60 歲
31D36|60-70 歲
31D37|70-80 歲
31D38|80-90 歲
31D39|90-100 歲
31D4|生日
31D4(...)|生日(歲的數目)
31D41|... 歲
31D41(...)|... 歲 (歲的數目)
31D5|青年與老年; 年輕與年老
31D51|兒童表現的像成人
31D52|成人表現的像兒童
31D6|回春,返老還童
31D61|青春之泉, 'Fontaine de Jouvence'
31D62|用火或煮的辦法返老還童
31D7|不自然地變老
31D71|'paidogeron', 即長鬍鬚的兒童或少年人,或其它變老的跡象
31D8|取名
31D81|取名日
31D82|個人及其名子
31D83|假名
31D84|綽號
31D85| 給予或被給予名子
31D9|壽命
31D90|'Età in generale' (Ripa)
31D91|長壽
31D910|'Vita longa' (Ripa)
31D92|短壽
31D920|'Velocità della vita humana', 'Vita breve' (Ripa)
31DD3|人生分成十年為一個階段 - DD - 超過一百歲
31DD30|0-10 歲 - DD - 超過一百歲
31DD31|10-20 歲 - DD - 超過一百歲
31DD32|20-30 歲 - DD - 超過一百歲
31DD33|30-40 歲 - DD - 超過一百歲
31DD34|40-50 歲 - DD - 超過一百歲
31DD35|50-60 歲 - DD - 超過一百歲
31DD36|60-70 歲 - DD - 超過一百歲
31DD37|70-80 歲 - DD - 超過一百歲
31DD38|80-90 歲 - DD - 超過一百歲
31DD39|90-100 歲 - DD - 超過一百歲
31E|死亡
31E1|臨終
31E11|了結事宜 ~ 臨終
31E111|立遺囑
31E112|告別親屬 ~ 臨終的人
31E113|遺言和遺囑, 口頭宣布(遺囑)
31E12|臨終所臥之床
31E121|有信仰之死 (平安之死)與無信仰之死(恐懼之死)
31E122|平安之臨終, 幸福之死
31E1221|安然去世
31E123|垂死掙扎;恐懼之死 
31E13|'Ars moriendi'
31E14|不同年齡的死亡
31E141|生下來已死的嬰兒
31E142|兒童之死
31E143|年青人之死
31E144|成年人之死
31E15|沒有臨終的升天, 升天translation
31E2|死亡的原因
31E21|自然死亡
31E211|老死
31E212|病死
31E213|'sudden death'
31E22|意外死亡 (非暴力死亡)
31E221|意外死亡 ~ 水
31E2211|溺水而死 (非暴力)
31E2212|溺水者
31E222|意外死亡 ~ 溫度
31E2221|高溫死亡
31E22211|意外死亡 ~ 火
31E2222|意外死亡 ~ 冷
31E223|意外死亡 ~ 內在原因
31E2231|意外死亡 ~ 飢餓
31E2232|意外死亡 ~ 口渴
31E2233|意外死亡 ~ 缺乏空氣,窒息
31E2234|意外死亡 ~ 毒藥
31E224|因下墜物體的非自然死亡
31E225|因墜落而死
31E228|因自然環境的死亡, 特別是自然災害
31E229|因人的行動造成的死亡, 交通, 工作過程中, 等等
31E23|暴力死亡, 被殺死; 因虐待; 尋死
31E231|暴力死亡 ~ 四元素
31E2311|暴力死亡 ~ 水
31E23111|溺水 (暴力死亡 ~ 水)
31E231111|放在船底
31E23112|持續灌水continuous dripping (暴力死亡 ~ 水)
31E2312|暴力死亡 ~ 火
31E23121|放在柴火堆上燒導致的暴力死亡
31E231211|被放在鐵架上烤導致的暴力死亡
31E23122|部分身體被火折磨導致的暴力死亡
31E231221|被煮導致的暴力死亡
31E23123|被電擊導致的暴力死亡
31E231231|電椅上的暴力死亡
31E2313|暴力死亡 ~ 土
31E23131|活埋 (暴力死亡)
31E231311|全身活埋 (暴力死亡)
31E231312|半身活埋
#31E23132|walled-in alive (暴力死亡)
31E2314|暴力死亡 ~ 氣
31E23141|缺乏空氣,窒息
31E23142|毒氣導致的暴力死亡; 悶死
31E23143|暴力死亡 ~ 危險的煙氣
31E232|暴力死亡 ~ 溫度
31E2321|高溫導致的暴力死亡 (沸騰的鉛水, 灼熱的煤, 等等)
31E2322|低溫導致的暴力死亡
31E23221|冷凝導致的暴力死亡
31E233|暴力死亡 ~ 內在原因
31E2331|飢餓導致的暴力死亡
31E23319|暴食導致的暴力死亡
31E2332|口渴導致的暴力死亡
31E2333|毒藥導致的暴力死亡
31E23331|在食物中放毒藥導致的暴力死亡
31E23332|在飲料中放毒藥導致的暴力死亡
31E233321|因杯中毒藥導致的暴力死亡
31E23333|被有毒的動物咬或叮導致的暴力死亡
31E233331|被毒蛇咬導致的暴力死亡
31E23334|有毒的物體導致的暴力死亡
31E23335|注射毒藥導致的暴力死亡
31E234|被擊打、踢、刺等等導致的暴力死亡
31E2341|暴力死亡 ~ 拋擲重物
31E23411|被亂石砸擊導致的暴力死亡
31E2342|頭部被擊打導致的暴力死亡
31E23421|頭部被物體擊打導致的暴力死亡
31E23422|頭部被投射物打擊導致的暴力死亡
31E23423|頭部被拳擊導致的暴力死亡
31E2343|身體其它部分被打擊導致的暴力死亡
31E23431|被拷打導致的暴力死亡
31E2344|暴力死亡by rasping
31E2345|被刺導致的暴力死亡
31E23451|放在布滿鐵釘的滾筒裡導致的暴力死亡
31E2346|武器造成的暴力死亡
31E23461|因中箭導致的暴力死亡
31E23462|因長槍長矛導致的暴力死亡
31E23463|因劈擊型武器造成的暴力死亡
31E234631|因劍導致的暴力死亡
31E234632|因匕首短刀導致的暴力死亡
31E2347|火器造成的暴力死亡
31E23471|因炸彈、手雷導致的暴力死亡
31E23472|因槍砲齊射導致的暴力死亡
31E2348|暴力死亡 ~ 被(從高處)扔下,被扔進坑中
31E23481|暴力死亡 ~ 扔到地板門下面
31E235|暴力死亡 ~ 虐待, 折磨
31E2351|被撕拉導致的暴力死亡 
31E2352|被折壓導致的暴力死亡 
31E2353|被以非正常姿勢綁縛導致的暴力死亡
31E23531|因斷骨輪導致的暴力死亡 by breaking on the wheel
31E23532|被綁縛在車輛或動物身後導致的暴力死亡
31E2354|因掐脖子導致的暴力死亡
31E23541|因壓重物導致的暴力死亡
31E2355|被上絞刑導致的暴力死亡
31E2356|被上十字架導致的暴力死亡
31E23561|被垂直上十字架導致的暴力死亡
31E23562|被倒掛上十字架導致的暴力死亡
31E23563|被上X-形的十字架導致的暴力死亡
31E236|因切割導致的暴力死亡
31E2361|因斷骨導致的暴力死亡
31E2362|通過砍、鋸、撕身體部分被去除而導致的暴力死亡
31E23621|被斬首導致的暴力死亡
31E236211|暴力死亡 ~ 被鍘刀斬首
31E236212|被斬首的人
31E236219|首級
31E2362191|在盤中的首級
31E2362192|掛在柱子上的首級
31E2362193|虐待首級
31E23622|被割舌導致的暴力死亡
31E23623|被切腹,拉腸導致的暴力死亡
31E23624|被分屍導致的暴力死亡
31E23625|被剜目導致的暴力死亡
31E2363|被剝皮導致的暴力死亡
31E2364|動脈被割開導致的暴力死亡
31E2365|拋扔給野獸導致的暴力死亡
31E237|用心理手段導致的暴力死亡
31E238|尋死, 自殺
31E2381|自我犧牲, 因更高的目的而死亡
31E2382|因絕望而自殺
31E3|屍體
31E31|驗屍, 屍體檢驗
31E311|把羽毛或鏡子放在鼻子下方確認最後一口氣
31E32|假死
31E321|(試圖使人)甦醒,如用人工呼吸
31E33|腐爛 (屍體)
31E331|自然的原因而保存的屍體
31E3311|法倫的礦工(屍體,1719年被發現)
31E3312|自然木乃伊化
31E34|發現死者
31E4|死者復活
31E5|生與死
31E51|(三位)生者與(三位)死者相會
31E52|'Et in Arcadia ego'
31EE22|意外死亡 (非暴力) - EE - 因事故受傷 (未導致死亡)
31EE221|意外死亡 ~ water - EE - 因事故受傷 (未導致死亡)
#31EE2211|death by drowning (非暴力) - EE - 因事故受傷 (未導致死亡)
#31EE2212|drowned person - EE - 因事故受傷 (未導致死亡)
#31EE222|意外死亡 ~ temperature - EE - 因事故受傷 (未導致死亡)
#31EE2221|意外死亡 by heat - EE - 因事故受傷 (未導致死亡)
#31EE22211|意外死亡 ~ fire - EE - 因事故受傷 (未導致死亡)
#31EE2222|意外死亡 ~ cold - EE - 因事故受傷 (未導致死亡)
#31EE223|意外死亡 ~ internal causes - EE - 因事故受傷 (未導致死亡)
#31EE2231|意外死亡 ~ hunger - EE - 因事故受傷 (未導致死亡)
#31EE2232|意外死亡 ~ thirst - EE - 因事故受傷 (未導致死亡)
#31EE2233|意外死亡 ~ deprivation of air, suffocating - EE - 因事故受傷 (未導致死亡)
#31EE2234|意外死亡 ~ poison - EE - 因事故受傷 (未導致死亡)
#31EE224|意外死亡 by falling objects - EE - 因事故受傷 (未導致死亡)
#31EE225|dying from the effects of a fall - EE - 因事故受傷 (未導致死亡)
#31EE228|death caused by effects of natural surroundings, especially natural catastrophes - EE - 因事故受傷 (未導致死亡)
#31EE229|death caused by undesired effects of human activities, in traffic, at work, etc. - EE - 因事故受傷 (未導致死亡)
31EE23|暴力死亡, 被殺死; 因虐待; 尋死 - EE - 未明確是否死亡; 受傷的人
#31EE231|暴力死亡 ~ elements - EE - 未明確是否死亡; 受傷的人
#31EE2311|暴力死亡 ~ water - EE - 未明確是否死亡; 受傷的人
#31EE23111|drowning, 'walking the plank' (暴力死亡 ~ water) - EE - 未明確是否死亡; 受傷的人
#31EE231111|keelhauling - EE - 未明確是否死亡; 受傷的人
#31EE23112|continuous dripping (暴力死亡 ~ water) - EE - 未明確是否死亡; 受傷的人
#31EE2312|暴力死亡 ~ fire - EE - 未明確是否死亡; 受傷的人
#31EE23121|暴力死亡 by burning at the stake; pyre - EE - 未明確是否死亡; 受傷的人
#31EE231211|暴力死亡 by burning on the gridiron - EE - 未明確是否死亡; 受傷的人
#31EE23122|暴力死亡 by having part of the body tortured with fire - EE - 未明確是否死亡; 受傷的人
#31EE231221|暴力死亡 by boiling - EE - 未明確是否死亡; 受傷的人
#31EE23123|暴力死亡 by electrocution - EE - 未明確是否死亡; 受傷的人
#31EE231231|暴力死亡 in electric chair - EE - 未明確是否死亡; 受傷的人
#31EE2313|暴力死亡 ~ earth - EE - 未明確是否死亡; 受傷的人
#31EE23131|buried alive (暴力死亡) - EE - 未明確是否死亡; 受傷的人
#31EE231311|entirely buried (暴力死亡) - EE - 未明確是否死亡; 受傷的人
#31EE231312|partially buried - EE - 未明確是否死亡; 受傷的人
#31EE23132|walled-in alive (暴力死亡) - EE - 未明確是否死亡; 受傷的人
31EE2314|暴力死亡 ~ air - EE - 未明確是否死亡; 受傷的人
#31EE23141|deprivation of air, choking - EE - 未明確是否死亡; 受傷的人
#31EE23142|暴力死亡 by gassing; asphyxiation - EE - 未明確是否死亡; 受傷的人
#31EE23143|暴力死亡 ~ dangerous fumes - EE - 未明確是否死亡; 受傷的人
#31EE232|暴力死亡 ~ temperature - EE - 未明確是否死亡; 受傷的人
#31EE2321|暴力死亡 by heat (boiling lead, burning coal, etc.) - EE - 未明確是否死亡; 受傷的人
#31EE2322|暴力死亡 by cold - EE - 未明確是否死亡; 受傷的人
#31EE23221|暴力死亡 by freezing - EE - 未明確是否死亡; 受傷的人
#31EE233|暴力死亡 ~ internal causes - EE - 未明確是否死亡; 受傷的人
#31EE2331|暴力死亡 by starvation - EE - 未明確是否死亡; 受傷的人
#31EE23319|暴力死亡 by overfeeding, force feeding - EE - 未明確是否死亡; 受傷的人
#31EE2332|暴力死亡 by thirst - EE - 未明確是否死亡; 受傷的人
#31EE2333|暴力死亡 by poison - EE - 未明確是否死亡; 受傷的人
#31EE23331|暴力死亡 by poison in food - EE - 未明確是否死亡; 受傷的人
#31EE23332|暴力死亡 by poison in drink - EE - 未明確是否死亡; 受傷的人
#31EE233321|暴力死亡 by poisoned cup - EE - 未明確是否死亡; 受傷的人
#31EE23333|暴力死亡 by bite or sting of poisonous animal - EE - 未明確是否死亡; 受傷的人
#31EE233331|暴力死亡 by snake-bite - EE - 未明確是否死亡; 受傷的人
