2|nature
25F37(WOODCOCK)|bécasse
25F38|oiseau coureur
25F38(...)|pintade
25F38(BUSTARD)|outarde
25F38(OSTRICH)|autruche
25F38(PARTRIDGE)|perdrix
25F38(PHEASANT)|faisan
25F38(QUAIL)|caille
25F38(TURKEY)|dindon
25F39(...)|guêpier
25F39(CUCKOO)|coucou
25F39(DODO)|dodo
25F39(DOVE)|colombe
25F39(HOOPOE)|huppe
25F39(HUMMING-BIRD)|oiseau-mouche
25F39(KINGFISHER)|alcyon
25F39(KINGFISHER)|martin-pêcheur
25F39(TURTLE DOVE)|touterelle
25F39(WOODPECKER)|pic
25F39(WOODPECKER)|pivert
25F39(WRYNECK)|torcol
25F4|reptile
25F41|lézard
25F41|saurien
25F41(CHAMELEON)|caméléon
25F42|serpent
25F42(...)|couleuvre
25F42(VIPER)|vipère
25F43|crocodile
25F43(ALLIGATOR)|alligator
25F44|tortue
25F5|amphibien
25F5|batracien
25F51|absence
25F51|manque
25F51|queue
25F51(FROG)|grenouille
25F51(TOAD)|crapaud
25F52|queue
25F6|poisson
25F61|poisson cartilagineux
25F61(DOGFISH)|chien de mer
25F61(RAY)|raie
25F61(SAWFISH)|poisson scie
25F61(SHARK)|requin
25F62|poisson osseux
25F62(BARBEL)|barbeau
25F62(BUTTERFISH)|congre
25F62(CARP)|carpe (poisson)
25F62(HERRING)|hareng
25F62(HIPPOCAMPUS)|hippocampe
25F62(LUNGFISH)|dipneuste
25F62(MACKEREL)|maquereau
25F62(MULLET)|mulet (poisson)
25F62(PIKE)|brochet (poisson)
25F62(PILOT-FISH)|poisson-pilote
25F62(RED HERRING)|hareng fumé
25F62(ROACH)|gardon
25F62(SALMON)|saumon
25F62(SARDINE)|sardine
25F62(SCARUS)|poisson-perroquet
25F62(SCARUS)|scare
25F62(SEA-BREAM)|daurade
25F62(SEA-DEVIL)|diable de mer
25F62(SEA-PERCH)|perche de mer
25F62(SEA-PERCH)|serran
25F62(SEA-WOLF)|bar (poisson)
25F62(SHEAT-FISH)|poisson-chat
25F62(SHEAT-FISH)|silure
25F62(STURGEON)|esturgeon
25F62(SUN-FISH)|poisson lune
