23T15|Babylonische Gefangenschaft
23T15|Christus
23T16|Arbeit
23T16|Christus
23T16|Ende
23T16|Wache
23T17|Christus
23T17|Ende
23T17|Himmlisches Jerusalem
23T17|Sabbat
23T17|ruhen
23T17|schlafen
23T21|Vorgeschichte
23T22|antike Geschichte
23T23|klassische Antike
23T24|dark ages
23T25|Mittelalter
23T25|mittelalterliche Geschichte
23T26|Renaissance
23T27|Jahrhundert
23U|Chronologie
23U|Zeitrechnung
23U1|Almanach
23U1|Kalender
23U11|Ewigkeit
23U11|Unaufhoerlichkeit
23U2|Instrument
23U2|Zeitmessung
23U2|messen
23U20|Ripa, Cesare
23U20|horografia
23U21|Sonnenuhr
23U22|Sanduhr
23U22|Stundenglas
23U23|Wasseruhr
23U24|Uhr
23U241|Uhrmacher
23U25|Uhr
24|Himmel
24|Himmelskoerper
240|Allegorie
24A|Himmelskörper
24A|Sonne
24A1|Himmelskoerper
24A1|Sonnenaufgang
24A11|Morgendaemmerung
24A110|Crepuscolo della matina
24A110|Ripa, Cesare
24A2|Himmelskoerper
24A2|Sonnenuntergang
24A21|Abend
24A21|Abenddaemmerung
24A210|Crepuscolo della sera
24A210|Ripa, Cesare
24A3|Finsternis
24A3|Himmelskoerper
24A3|Sonnenfinsternis
24A31|Korona
24A31|Kranz
24A4|Himmelskoerper
24A4|Mitternachtssonne
24A5|Himmelskoerper
24A5|physische Phaenomene
24A51|Fleck
24A51|Sonnenflecken
24A52|Fleck
24A52|Halo
24A52|Nebensonne
24A52|Phaenomene
24A6|Gesicht
24A6|Himmelskoerper
24A6|Rad
24A7|Himmelskoerper
24A7|Position
24A71|Mitsommernachtstag
24A71|Sommersonnenwende
24A71|Sonnenwende
24A710|Ripa, Cesare
24A710|solstitio estivo
24A72|Aequinoktium
24A72|Herbstaequinoktium
24A72|Tagundnachtgleiche
24A720|Equinottio dell'autunno
24A720|Ripa, Cesare
24A73|Sonnenwende
24A73|Wintersonnenwende
24A730|Ripa, Cesare
24A730|solstitio hiemale
24A74|Aequinoktium
24A74|Fruehling
24A74|Fruehlingsaequinoktium
24A74|Tagundnachtgleiche
24A740|Equinottio della primavera
24A740|Ripa, Cesare
24A8|Himmelskoerper
24A8|Licht
24A8|Sonnenlicht
24A81|Lichtstrahl
24B|Himmelskörper
24B|Mond
24B1|Himmelskoerper
24B1|Mondsichel
24B1|zunehmender Mond
24B11|Gesicht
24B2|Himmelskoerper
24B2|Vollmond
24B21|Gesicht
24B3|Himmelskoerper
24B3|Mondsichel
24B3|abnehmender Mond
24B31|Gesicht
24B4|Finsternis
24B4|Himmelskoerper
24B4|Mondfinsternis
24B5|Himmelskoerper
24B5|Landschaft
24B5|Mondlandschaft
24B6|Himmelskoerper
24B6|Licht
24B6|Mondlicht
24B61|Lichtstrahl
24B61|Mondstrahl
24B62|Betrachtung
24B62|Kontemplation
24B62|schwaermen
24B7|Himmelskoerper
24B7|Mondaufgang
24B8|Himmelskoerper
24B8|Monduntergang
24C|Himmelskörper
24C|Planet
24C1|Himmelskoerper
24C1|Sonnensystem
24C1|System
24C11|Ceres
24C12|Himmelskörper
24C12|Jupiter
24C13|Himmelskörper
24C13|Mars
24C14|Merkur
24C15|Neptun
24C16|Pluto
24C17|Himmelskörper
24C17|Saturn
24C18|Himmelskörper
24C18|Uranus
24C19|Himmelskörper
24C19|Venus
24C191|Himmelskoerper
24C191|Morgenstern
24C191|Stern
24C192|Abendstern
24C192|Himmelskoerper
24C192|Stern
24C2|Einfluss
24C2|Himmelskoerper
24C2|Mond
24C2|Planetenkinder
24C2|Sonne
24C21|Kind
24C21|Personifikation
24C211|Saturn
24C212|Jupiter
24C213|Mars
24C214|Sol
24C215|Venus
24C216|Merkur
24C217|Luna
24C22|Personifikation
24C22|Tierkreis
24C221|Aquarius
24C221|Capricorn
24C221|Saturn
24C221|Steinbock (Tierkreiszeichen)
24C221|Wassermann (Tierkreiszeichen)
24C222|Fische (Tierkreiszeichen)
24C222|Jupiter
24C222|Pisces
24C222|Sagittarius
24C222|Schuetze (Tierkreiszeichen)
24C223|Aries
24C223|Mars
24C223|Scorpio
24C223|Skorpion (Tierkreiszeichen)
24C223|Widder (Tierkreiszeichen)
24C224|Leo
24C224|Loewe (Tierkreiszeichen)
24C224|Sol
24C225|Libra
24C225|Stier (Tierkreiszeichen)
24C225|Taurus
24C225|Venus
24C225|Waage (Tierkreiszeichen)
24C226|Gemini
24C226|Jungfrau (Tierkreiszeichen)
24C226|Merkur
24C226|Virgo
24C226|Zwillinge (Tierkreiszeichen)
24C227|Krebs (Tierkreiszeichen)
24C227|Luna
24C3|Metall
24C3|Planetenmetalle
24C3|Symbol
24C31|Gold
24C31|Sonne
24C32|Mond
24C32|Silber
24C33|Merkur
24C33|Quecksilber
24C34|Kupfer
24C34|Venus
24C35|Eisen
24C35|Mars
24C36|Jupiter
24C36|Zinn
24C37|Blei
24C37|Saturn
24C39(URANUS)|Platin
24C39(URANUS)|Uranus
24D|Himmelskörper
24D|Stern
24D0|Allegorie
24D0|Symbol
24D1|Himmelskoerper
24D1|Sternbild
24D1(...)|Himmelskörper
24D1(ORION)|Himmelskoerper
24D1(ORION)|Orion
24D1(POLARIS)|Norden
24D1(POLARIS)|Polaris
24D1(POLARIS)|Polarstern
24D1(SIRIUS)|Himmelskoerper
24D1(SIRIUS)|Sirius
24D2|Galaxie
24D2|Himmelskoerper
24D21|Milchstrasse
24D211|Genese
24D211|Herkules
24D211|Juno
24D211|Milch
24D211|Saeugling
24D211|stillen
24D4|Galaxie
24D4|Himmelskoerper
24E|Astronomie
24E|Phaenomene
24E1|Komet
24E10|Cometa
24E10|Ripa, Cesare
24E2|Meteor
24E3|Meteoriten
24F|Firmament
24F1|Betrachtung
24F1|Kontemplation
24F2|Stern
24G|Sphaere
24G1|Empyreum
25|Erde
25|Welt
250|Ripa, Cesare
250|machina del mondo
250|mondo
25A|Karte
25A|Landkarte
25A1|Weltkarte
25A11|Form
25A11|Kreis
25A11|Quadrat
25A111|Erdmittelpunkt
25A111|Nabel
25A111|Nabel der Welt
25A111|Omphalos
25A1111|Jerusalem
25A1112|Delphi
25A13|Globus
25A13|Weltkugel
25A131|Ikosaeder
25A14|Richtung
25A14|vier
25A141|Norden
25A1410|Ripa, Cesare
25A1410|settentrione
25A142|Osten
25A1420|Oriente
25A1420|Ripa, Cesare
25A1421|Orientierung
25A143|Sueden
25A1430|Ripa, Cesare
25A1430|mezzodì
25A144|West(en)
25A1440|Ripa, Cesare
25A1440|occidente
25A15|Breite
25A15|Laenge
25A1511|Aequator
25A1512|Capricorn
25A1512|Krebs (Tierkreiszeichen)
25A1512|Steinbock (Tierkreiszeichen)
25A1512|Wendekreis
25A1521|Meridian
25A2|Kontinent
25A21|Europa
25A22|Asien
25A23|Eurasien
25A24|Afrika
25A25|Amerika
25A251|Nordamerika
25A252|Suedamerika
25A26|Australien
25A27|Polargebiete
25A271|Nordpol
25A272|Suedpol
25A3|Gebiet
25A3|Land
25A4|Stadt
25A5|Seekarte
25A9|Kartographie
25A90|Geographie
25A90|Ripa, Cesare
25A90|corografia
25A90|geografia
25A90|hidrografia
25A91|Geodaesie
25A91|Landvermessung
25A910|Altimetria
25A910|Ripa, Cesare
25A911|Feldvermessungsgeraete
25A911|Instrument
25A911|messen
25A9111|Jakobsstab
25A9111|Stab
25A9111|Stecken
25B|Kontinent
25B1|Europa
25B1|Ripa, Cesare
25B2|Asien
25B2|Ripa, Cesare
25B3|Afrika
25B3|Ripa, Cesare
25B4|Amerika
25B4|Ripa, Cesare
25B5|Australien
25B6|Polargebiete
25B61|Nordpol
25B62|Suedpol
25C|Geologie
25C|Phaenomene
25C1|Vulkanismus
25C11|Ausbruch
25C11|Vulkan
25C111|Lava
25C112|Aschewolke
25C12|Vulkan
25C13|Dampf
